category,sub_category,link,see_all_link
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/l/21840251031?_encoding=UTF8&ref_=cct_cg_Baby22_3a1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840251031&s=popularity-rank&fs=true&ref=lp_21840251031_sar
Grocery,Cooking & Baking,https://www.amazon.eg/-/en/l/21840234031?_encoding=UTF8&ref_=cct_cg_Baby22_3b1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840234031&s=popularity-rank&fs=true&ref=lp_21840234031_sar
Grocery,Herbs & Spices,https://www.amazon.eg/-/en/l/21840236031?_encoding=UTF8&ref_=cct_cg_Baby22_3c1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840236031&s=popularity-rank&fs=true&ref=lp_21840236031_sar
Grocery,Cereal & Oats,https://www.amazon.eg/-/en/l/21840252031?_encoding=UTF8&ref_=cct_cg_Baby22_3d1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A88358291031&s=popularity-rank&fs=true&ref=lp_88358291031_sar
Grocery,"Jams, Honey & Spreads",https://www.amazon.eg/-/en/l/21840239031?_encoding=UTF8&ref_=cct_cg_Baby22_3e1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840239031&s=popularity-rank&fs=true&ref=lp_21840239031_sar
Grocery,"Sauces, Gravies & Marinades",https://www.amazon.eg/-/en/l/21840254031?_encoding=UTF8&ref_=cct_cg_Baby22_3f1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840254031&s=popularity-rank&fs=true&ref=lp_21840254031_sar
Beverages,Coffee,https://www.amazon.eg/-/en/l/21840370031?_encoding=UTF8&ref_=cct_cg_SUP22_3a1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840370031&s=popularity-rank&fs=true&ref=lp_21840370031_sar
Beverages,Tea,https://www.amazon.eg/-/en/l/21840371031?_encoding=UTF8&ref_=cct_cg_SUP22_3b1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840371031&s=popularity-rank&fs=true&ref=lp_21840371031_sar
Beverages,Water,https://www.amazon.eg/-/en/l/21840369031?_encoding=UTF8&ref_=cct_cg_SUP22_3c1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840369031&s=popularity-rank&fs=true&ref=lp_21840369031_sar
Beverages,Milk,https://www.amazon.eg/-/en/l/21840325031?_encoding=UTF8&ref_=cct_cg_SUP22_3d1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840325031&s=popularity-rank&fs=true&ref=lp_21840325031_sar
Beverages,Juices,https://www.amazon.eg/-/en/l/21840373031?_encoding=UTF8&ref_=cct_cg_SUP22_3e1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&rh=n%3A21840373031&s=popularity-rank&fs=true&ref=lp_21840373031_sar
Beverages,Soft Drinks,https://www.amazon.eg/-/en/l/98177721031?_encoding=UTF8&ref_=cct_cg_SUP22_3f1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5,https://www.amazon.eg/-/en/s?i=grocery&srs=98177721031&rh=n%3A98177721031&s=popularity-rank&fs=true&ref=lp_98177721031_sar
