category,sub_category,product_link
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Al-Doha-Egyptian-Rice-1-kg/dp/B00FFE8TDG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-1
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Italiano-fettucini-400gm/dp/B07BYPSDZV/ref=sr_1_2?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-2
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/ELMALEKA-vermecelli-1kg/dp/B01JRXHCOW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-3
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Indomie-Instant-Noodles-Vegetables-Flavour/dp/B09MBWKLWG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-4
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Macaroni-with-Mac-Cheese-Sauce/dp/B0DBLZXPKX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-5
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/El-Maleka-Penne-400-g/dp/B00REWB1HI/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-6
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Italiano-penne-400gm/dp/B07QDPDT83/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-7
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Rehana-Egyptian-White-Rice-Kg/dp/B087PZ11RJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-8
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/ELMALEKA-El-maleka-spaghetti-1kg/dp/B01392JGNM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-9
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/Indomie-instant-fried-noodles-80/dp/B089QRRJZV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.PPqtqu3xIk151DIRKeUoVU_5f5IudmO5VdDjfk9wLDT3EmDy6-mj4yOZex5thOek-j_ApOhCClXQdI3Dr6cByF4nMOPSfO6PAMhQ1h18qmWs6TOvE5-Gd6yrRqQSP8ZtLYLaS_UFeKnbA3io8p1-aEYldoKyIlH0DR3hr-nrgeq9_8wEl5HbZLJcGhZy9ni2W0sBCmAppZs5ydXFn6OP5Wpfl8L4NpsL5WVahXI9_NZ2EPkvzMAcM-537JOZpf4hX06YnBglNPOl2FBzC5nJSdnDvMONjeeRu5k-oAMeGlk.4_b_kx3ft9lXKZ7kqAQGDN0svRZ56xtA2LV4Z0NombQ&dib_tag=se&qid=1777548973&s=grocery&sr=1-10
