source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,"Dried Beans, Grains and Rice",أرز مصري أبيض 5كيلوجرام,https://www.noon.com/egypt-ar/egyptian-white-rice-5kg/N30522021A/p/?o=ff2b2e98591c11cb,174.50,ريحانة,5 كيلوجرام,,,,4.6,861
noon,Grocery,"Dried Beans, Grains and Rice",لوبيا مصرية 500جرام,https://www.noon.com/egypt-ar/egyptian-lobia-500grams/N52406610A/p/?o=ec135056c0c9295f,38.25,حبوبة,500 جرام,,,,4.4,126
noon,Grocery,"Dried Beans, Grains and Rice",أرز 5كيلوجرام,https://www.noon.com/egypt-ar/rice-5kg/N29047429A/p/?o=f6cb60f3571dc82d,166.00,على قد الايد,5 كيلوجرام,,,,3.3,121
noon,Grocery,"Dried Beans, Grains and Rice",أرز ابيض مصري 1 كيلو,https://www.noon.com/egypt-ar/white-rice-1-kg/Z0DFDA837FB94D4573A88Z/p/?o=z0dfda837fb94d4573a88z-1,39.00,حبوبة,1 كيلوجرام,,,,4.1,599
noon,Grocery,"Dried Beans, Grains and Rice",عدس أصفر 250 جرام,https://www.noon.com/egypt-ar/yellow-lentils-250g/Z29630643D8123AF6D6AEZ/p/?o=z29630643d8123af6d6aez-1,20.25,أفندي,250 جرام,,,,4.4,33
noon,Grocery,"Dried Beans, Grains and Rice",أرز مصري أبيض 1كيلوجرام,https://www.noon.com/egypt-ar/egyptian-white-rice-1kg/N30522020A/p/?o=c85efddea7654a7e,42.00,ريحانة,1 كيلوجرام,,,,4.6,672
noon,Grocery,"Dried Beans, Grains and Rice",حمص 250 جرام,https://www.noon.com/egypt-ar/chickpeas-250-grams/ZFB709435503206BA141BZ/p/?o=zfb709435503206ba141bz-1,27.25,أفندي,250 جرام,,,,4.4,9
noon,Grocery,"Dried Beans, Grains and Rice",أرز بسمتي سيلا ذهبي هندي 2 كجم,https://www.noon.com/egypt-ar/basmatti-sella-rice-golden-indian-2-kg/Z3AD910762038F6A5FF6DZ/p/?o=z3ad910762038f6a5ff6dz-1,251.00,سلطنة,2 كيلوجرام,,,,4.3,77
noon,Grocery,"Dried Beans, Grains and Rice",أرز 1كيلوجرام,https://www.noon.com/egypt-ar/rice-1kg/N29047428A/p/?o=b04e50425392c5fa,34.00,على قد الايد,1 كيلوجرام,,,,3.7,196
noon,Grocery,"Dried Beans, Grains and Rice",حمص 500غرام,https://www.noon.com/egypt-ar/chickpeas-500grams/N27719621A/p/?o=e57064266bd58c8f,114.00,الضحى,500 جرام,,,,4.6,26
