source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,salt,Imtenan Monk Fruit Natural Sweetener - 150g,https://www.noon.com/egypt-en/imtenan-monk-fruit-natural-sweetener-150g/Z40A39B0723F7C372E7D8Z/p/?o=e6dae5e443b4fddf,237.00,Imtenan,150g  |  EGP 158.00/100g
noon,Grocery,salt,Mivolis Sweetener Tablets 1200 Sticks 72grams,https://www.noon.com/egypt-en/mivolis-sweetener-tablets-1200-sticks-72grams/Z3BCE0394B65D16F58147Z/p/?o=z3bce0394b65d16f58147z-1,275.00,mivolis,1200 pieces  |  EGP 0.23/piece
noon,Grocery,salt,Rich Almond Sugar Substitute – Box of 75 Sachets (2 Spoon Equivalents per Sachet),https://www.noon.com/egypt-en/rich-almond-sugar-substitute-box-of-75-sachets-2-spoon-equivalents-per-sachet/Z16F46FD51AB5D5A97E5BZ/p/?o=z16f46fd51ab5d5a97e5bz-1,85.00,Rich Diet,75 pieces  |  EGP 1.13/piece
noon,Grocery,salt,Rich Sugar Fructose 500g Box,https://www.noon.com/egypt-en/rich-sugar-fructose-500g-box/Z3F703372568B5DDB3CD2Z/p/?o=z3f703372568b5ddb3cd2z-1,165.31,Rich Diet,500g  |  EGP 33.06/100g
noon,Grocery,salt,Steviana From Stevia Leaves Healthy And Tasty 100 Sachets250grams with mug free,https://www.noon.com/egypt-en/steviana-from-stevia-leaves-healthy-and-tasty-100-sachets250grams-with-mug-free/ZA03C8C6CF684EFC3D25BZ/p/?o=za03c8c6cf684efc3d25bz-1,550.00,Steviana,100 pieces  |  EGP 5.50/piece
noon,Grocery,salt,Himalayan Salt 500g.,https://www.noon.com/egypt-en/himalayan-salt-500g/Z99DB2BD514105E30B4F0Z/p/?o=z99db2bd514105e30b4f0z-1,45.95,Mr. Food,500g  |  EGP 9.19/100g
noon,Grocery,salt,"Better Taste Stevia Liquid drops, 20ml",https://www.noon.com/egypt-en/better-taste-stevia-liquid-drops-20ml/ZD5CAD4F23CF3CAEED193Z/p/?o=zd5cad4f23cf3caeed193z-1,153.00,Better Taste,20ml  |  EGP 226.24/fl oz
noon,Grocery,salt,Stevia Diet Sugar Zero Calories 50 Sachets,https://www.noon.com/egypt-en/stevia-diet-sugar-zero-calories-50-sachets/Z6714486582E8828916E1Z/p/?o=z6714486582e8828916e1z-1,85.00,Rich Diet,50 pieces  |  EGP 1.70/piece
noon,Grocery,salt,Brown Sugar 100 Sheets 400grams,https://www.noon.com/egypt-en/brown-sugar-100-sheets-400grams/ZB5643E0985286FF30A37Z/p/?o=zb5643e0985286ff30a37z-1,76.00,Imtenan,100 sheets  |  EGP 76.00/100 sheets
noon,Grocery,salt,Sweetener From Stevia Leaves Healthy And Tasty 100 Sachets250grams with mug free,https://www.noon.com/egypt-en/sweetener-from-stevia-leaves-healthy-and-tasty-100-sachets250grams-with-mug-free/ZBD6AC40D27573F479334Z/p/?o=zbd6ac40d27573f479334z-1,550.00,Steviana,100 pieces  |  EGP 5.50/piece
