source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,grocery,sauces,Hot Ketchup Sauce 500 grams,https://www.noon.com/egypt-en/hot-ketchup-sauce-500-grams/ZC33C4067598D3F55F67CZ/p/?o=zc33c4067598d3f55f67cz-1,55.5,GIARDINO,500g  |  EGP 11.10/100g
noon,grocery,sauces,Salsa dip Hot 310grams,https://www.noon.com/egypt-en/salsa-dip-hot-310grams/N51413313A/p/?o=de2ec7651cb1849c,132.5,Poco Loco,310g  |  EGP 42.74/100g
noon,grocery,sauces,Cheezy Sauce - 200 Gram,https://www.noon.com/egypt-en/cheezy-sauce-200-gram/Z2F5AF3E20963CD937C4BZ/p/?o=z2f5af3e20963cd937c4bz-1,75,Good France,200g  |  EGP 37.50/100g
noon,grocery,sauces,Sweet Chilli Sauce 725ml  Single,https://www.noon.com/egypt-en/sweet-chilli-sauce-725ml-single/N42868027A/p/?o=ab76435a6e57c66c,186.75,Flying Goose,725ml  |  EGP 25.76/100ml
noon,grocery,sauces,Signature Dark soy sauce- 500 ml,https://www.noon.com/egypt-en/signature-dark-soy-sauce-500-ml/ZD67FEF42C587F080844DZ/p/?o=zd67fef42c587f080844dz-1,171,Haday,500ml  |  EGP 34.20/100ml
noon,grocery,sauces,Big Burger Sauce 400grams,https://www.noon.com/egypt-en/big-burger-sauce-400grams/N47697076A/p/?o=acb62b06c301bd7d,89.75,Good France,400g  |  EGP 22.44/100g
noon,grocery,sauces,Hot Ketchup 400grams,https://www.noon.com/egypt-en/hot-ketchup-400grams/N47697075A/p/?o=cc1d11649cceeaaf,52.25,Good France,400g  |  EGP 13.06/100g
noon,grocery,sauces,Mayo smoked mayonnaise sauce 380 g,https://www.noon.com/egypt-en/mayo-smoked-mayonnaise-sauce-380-g/Z86698748D6B2C9CBC1BEZ/p/?o=b49b4efa50f76ccb,120,Durra,380g  |  EGP 31.58/100g
noon,grocery,sauces,Texas Burger Sauce 200grams,https://www.noon.com/egypt-en/texas-burger-sauce-200grams/N47697080A/p/?o=a81a444418c4df7a,51,Good France,200g  |  EGP 25.50/100g
noon,grocery,sauces,Happy Kitchen Tomato Puree 500ml,https://www.noon.com/egypt-en/happy-kitchen-tomato-puree-500ml/N28727633A/p/?o=f9cc8b5ea66d2baa,38,Juhayna,500ml  |  EGP 7.60/100ml
noon,grocery,sauces,Ketchup Bottle 400grams,https://www.noon.com/egypt-en/ketchup-bottle-400grams/N30328294A/p/?o=a6a7048f6afcb9be,37.95,Good France,400g  |  EGP 9.49/100g
noon,grocery,sauces,Ranch Dressing 400grams,https://www.noon.com/egypt-en/ranch-dressing-400grams/N48704761A/p/?o=c2740844ecf669bd,79.25,Good France,400g  |  EGP 19.81/100g
noon,grocery,sauces,Harissa Cooking Paste 190grams,https://www.noon.com/egypt-en/harissa-cooking-paste-190grams/N43440632A/p/?o=a79b831bc5c45f6a,28,Wadi Food,190g  |  EGP 14.74/100g
noon,grocery,sauces,Vanilla Food Liquid 100ml,https://www.noon.com/egypt-en/vanilla-food-liquid-100ml/N49538629A/p/?o=c6c8dbf823e4bf1a,72,DOBELLA,100ml  |  EGP 72.00/100ml
noon,grocery,sauces,Texas Spicy Sauce 400 grams,https://www.noon.com/egypt-en/texas-spicy-sauce-400-grams/Z6E9582A48CF5B3E79ADFZ/p/?o=z6e9582a48cf5b3e79adfz-1,150,Good France,400g  |  EGP 37.50/100g
noon,grocery,sauces,Mayonnaise Sandwich Bottle 400grams,https://www.noon.com/egypt-en/mayonnaise-sandwich-bottle-400grams/N30328292A/p/?o=ad79dc4b78039f1a,63.25,Good France,400g  |  EGP 15.81/100g
noon,grocery,sauces,Caramel Sauce Squeeze - 480Gm,https://www.noon.com/egypt-en/caramel-sauce-squeeze-480gm/Z53D2FF11CD6DBA8D14A1Z/p/?o=z53d2ff11cd6dba8d14a1z-1,120,ASMACUP,480g  |  EGP 25.00/100g
noon,grocery,sauces,Pistachio Cream Sauce 500Gm,https://www.noon.com/egypt-en/pistachio-cream-sauce-500gm/Z8E12CCE9D781B466D0E1Z/p/?o=z8e12cce9d781b466d0e1z-1,299,ASMACUP,480g  |  EGP 62.29/100g
noon,grocery,sauces,Worcestershire Sauce 500ml,https://www.noon.com/egypt-en/worcestershire-sauce-500ml/N49538600A/p/?o=b1c05868af01f24f,325,Heinz,500ml  |  EGP 65.00/100ml
noon,grocery,sauces,Bbq Sauce 2.25kg,https://www.noon.com/egypt-en/bbq-sauce-2-25kg/N47961278A/p/?o=ade8285ebad3f87c,145,Lavida,2.25kg  |  EGP 6.44/100g
noon,grocery,sauces,"Indofood Sweet Soy Sauce (Kecap Manis), Rich & Thick Glaze, Authentic Flavour, 140ml Bottle",https://www.noon.com/egypt-en/indofood-sweet-soy-sauce-kecap-manis-rich-thick-glaze-authentic-flavour-140ml-bottle/Z53E159738DC0AE233868Z/p/?o=b220a5510e8cbcba,324,Indofood,140ml  |  EGP 2.31/100ml
noon,grocery,sauces,1000 Island Dressing 400grams,https://www.noon.com/egypt-en/1000-island-dressing-400grams/N48704751A/p/?o=be5daef12aa7337c,61.5,Good France,400g  |  EGP 15.38/100g
noon,grocery,sauces,Mustard Sauce - Diet Sauce 76 grams,https://www.noon.com/egypt-en/mustard-sauce-diet-sauce-76-grams/Z5329E370DBE0469D40F5Z/p/?o=z5329e370dbe0469d40f5z-1,44.75,Naturesta,76g  |  EGP 58.88/100g
noon,grocery,sauces,Classic Mayonnaise -250ml,https://www.noon.com/egypt-en/classic-mayonnaise-250ml/Z6391157412012A5BCD22Z/p/?o=z6391157412012a5bcd22z-1,37.75,Dixie Mills,250ml  |  EGP 15.10/100ml
noon,grocery,sauces,B.B.Q Sauce 200grams,https://www.noon.com/egypt-en/b-b-q-sauce-200grams/N47697079A/p/?o=bcdcefc5a21b2e1e,33.25,Good France,200g  |  EGP 16.62/100g
noon,grocery,sauces,Dates Syrup 450grams,https://www.noon.com/egypt-en/dates-syrup-450grams/ZBFE115D7B610BBD28DB5Z/p/?o=zbfe115d7b610bbd28db5z-1,91.5,Imtenan,450g  |  EGP 20.33/100g
noon,grocery,sauces,BBQ  Sauce 430 gm,https://www.noon.com/egypt-en/bbq-sauce-430-gm/ZC0CF6795DB28E0F98D59Z/p/?o=zc0cf6795db28e0f98d59z-1,52,Lavida,430g  |  EGP 12.09/100g
noon,grocery,sauces,Mocha Syrup - 170 grams,https://www.noon.com/egypt-en/mocha-syrup-170-grams/Z10CBE1DEA9BA65D0759DZ/p/?o=z10cbe1dea9ba65d0759dz-1,48.25,Magic Moments,170g  |  EGP 28.38/100g
noon,grocery,sauces,Hot sauce 175ml,https://www.noon.com/egypt-en/hot-sauce-175ml/Z5431ACE9D6C17A1A7C95Z/p/?o=c9c1b97091d79fcd,31,Durra,175ml  |  EGP 0.18/100ml
noon,grocery,sauces,Guilt Free Ketchup - Zero Added Sugar-350Ml,https://www.noon.com/egypt-en/guilt-free-ketchup-zero-added-sugar-350ml/Z19E85CDD9F1A4BA5F7DDZ/p/?o=z19e85cdd9f1a4ba5f7ddz-1,120,Organic Nation,350ml  |  EGP 34.29/100ml
noon,grocery,sauces,Natural Mayonnaise 3.29kg,https://www.noon.com/egypt-en/natural-mayonnaise-3-29kg/N34976231A/p/?o=bb2900ad54f9277a,470.25,GIARDINO,3.29kg  |  EGP 14.29/100g
noon,grocery,sauces,Mayonnaise Sandwich 200grams,https://www.noon.com/egypt-en/mayonnaise-sandwich-200grams/N47697078A/p/?o=c7f12784a96e93fa,33.75,Good France,200g  |  EGP 16.88/100g
noon,grocery,sauces,Tomato Ketchup Bucket - 10 kg,https://www.noon.com/egypt-en/tomato-ketchup-bucket-10-kg/Z5319523EAF7374F5E56EZ/p/?o=z5319523eaf7374f5e56ez-1,460.25,Add-Me,10kg  |  EGP 4.60/100g
noon,grocery,sauces,Superior Oyster sauce- 700 Gram,https://www.noon.com/egypt-en/superior-oyster-sauce-700-gram/Z91AB26A09CCEB2C2ECFAZ/p/?o=z91ab26a09cceb2c2ecfaz-1,135.25,Haday,700g  |  EGP 19.32/100g
