sku,source,category,sub_category,product_type,product_name,brand,price,price_per_unit,number_of_items,item_weight_grams,date
N28853935A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Full cream milk powder 15 grams, pack of 20 pieces",Miro,147.25,7.3625,20.0,15.0,2026-05-25
N28853944A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Instant full fat milk powder, 700 grams",Tambo,191.75,95.875,2.0,700.0,2026-05-25
Z9D48D86C44595540A820Z,noon,Grocery,Dairy Cheese and Eggs,Milk,"Full-fat carton, 1 liter width, 6 packs",Juhayna,274.95,45.825,6.0,1000.0,2026-05-25
N28727613A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Whole milk set 1.5 liters, pack of 8 pieces",Juhayna,578.0,72.25,8.0,1500.0,2026-05-25
Z8F86FFF2B04741C5C60EZ,noon,Grocery,Dairy Cheese and Eggs,Milk,"Saudia Yoghurt – Pack of 3 | Fresh and nutritious milk with a rich taste for daily use, drinking and cooking",Saudi Arabia,198.0,66.0,3.0,500.0,2026-05-25
N29469525A,noon,Grocery,Dairy Cheese and Eggs,Milk,Full cream evaporated milk 410 g,Bonnie,155.0,77.5,2.0,410.0,2026-05-25
N43087760A,noon,Grocery,Dairy Cheese and Eggs,Milk,Professional coconut milk 1 litre,Alpro,263.25,32.9062,8.0,1000.0,2026-05-25
N28727620A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Full cream milk, 1 liter, pack of 12 pieces",Juhayna,607.0,50.5833,12.0,1000.0,2026-05-25
N48320869A,noon,Grocery,Dairy Cheese and Eggs,Milk,Coconut milk N&G,Juhayna,583.0,97.1667,6.0,1000.0,2026-05-25
ZEC6325824599CF83D9AFZ,noon,Grocery,Dairy Cheese and Eggs,Milk,"Long Life Skim Milk, 1 Liter, Pack of 12",The Milk Man,570.0,47.5,12.0,1.0,2026-05-25
N28853941A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Instant milk with banana flavor, 30 grams, pack of 12 pieces",Miro,126.0,10.5,12.0,30.0,2026-05-25
N28853939A,noon,Grocery,Dairy Cheese and Eggs,Milk,Chocolate Flavor Instant Milk 336g (30gx12 Piece) Pack of 12,Miro,156.25,13.0208,12.0,,2026-05-25
N28853938A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Skimmed milk powder 20 grams, pack of 20 pieces",Miro,162.5,8.125,20.0,20.0,2026-05-25
ZAC002C75253979CA0EADZ,noon,Grocery,Dairy Cheese and Eggs,Milk,Powdered milk 100 grams,Nido,50.0,7.1429,7.0,100.0,2026-05-25
N40871216A,noon,Grocery,Dairy Cheese and Eggs,Milk,"Skimmed milk 200 milliliters, pack of 27 pieces",Juhayna,312.0,11.5556,27.0,200.0,2026-05-25
ZD882E5B9ED6E88857555Z,noon,Grocery,Dairy Cheese and Eggs,Milk,Juhayna Long Life Full Cream Milk (UHT) - Saver Pack (6 x 1 L),Juhayna,500.0,83.3333,6.0,1000.0,2026-05-25
