sku,source,category,sub_category,product_type,product_name,brand,price,price_per_unit,number_of_items,item_weight_grams,date
B00FFE8TDG,amazon,Grocery,Rice & Pasta,Rice,Al Doha Egyptian Rice-1 kg,Al Doha,40.95,40.95,1.0,1000.0,2026-05-04
B07BYPSDZV,amazon,Grocery,Rice & Pasta,Pasta,Italiano fettucini 400gm,Italiano,25.5,25.5,1.0,400.0,2026-05-04
B01JRXHCOW,amazon,Grocery,Rice & Pasta,Vermicelli,ELMALEKA vermecelli -1kg,Unknown,31.49,31.49,,,2026-05-04
B09MBWKLWG,amazon,Grocery,Rice & Pasta,Noodles,Indomie Instant Noodles Vegetables Flavour - Jumbo Pack - 100g,Indomie,10.25,10.25,1.0,100.0,2026-05-04
B0DBLZXPKX,amazon,Grocery,Rice & Pasta,Pasta,Macaroni with Mac & Cheese Sauce,Al Doha,22.0,22.0,1.0,180.0,2026-05-04
B00REWB1HI,amazon,Grocery,Rice & Pasta,Pasta,"El Maleka Penne, 400 g",ELMALEKA,14.5,14.5,,390.0,2026-05-04
B07QDPDT83,amazon,Grocery,Rice & Pasta,Pasta,Italiano penne - 400gm,Unknown,25.5,25.5,,,2026-05-04
B087PZ11RJ,amazon,Grocery,Rice & Pasta,Rice,Rehana Egyptian White Rice - 1 Kg,Rehana,36.5,36.5,,1000.0,2026-05-04
B01392JGNM,amazon,Grocery,Rice & Pasta,Pasta,El maleka spaghetti 1kg,ELMALEKA,31.49,31.49,1.0,1000.0,2026-05-04
B089QRRJZV,amazon,Grocery,Rice & Pasta,Noodles,"Indomie instant fried noodles, 80 gm",Indomie,11.5,11.5,1.0,80.0,2026-05-04
B01JF462MG,amazon,Grocery,Rice & Pasta,Pasta,Italiano Risoni - 400 Grams,Italiano,23.94,23.94,1.0,400.0,2026-05-04
B07BZ265BB,amazon,Grocery,Rice & Pasta,Pasta,"Elmatbakh Elmasry spaghetti pasta, 400 gm",Al Doha,11.99,11.99,1.0,400.0,2026-05-04
B0DBM18K6D,amazon,Grocery,Rice & Pasta,Pasta,Mushroom Sauce Pasta,Al Doha,15.0,15.0,1.0,160.0,2026-05-04
B0DBLY34LM,amazon,Grocery,Rice & Pasta,Pasta,Alfredo Pasta,Al Doha,18.0,18.0,1.0,160.0,2026-05-04
B08WJN9JDK,amazon,Grocery,Rice & Pasta,Rice,Rehana golden basmati rice - 1 kg,Rehana,105.0,105.0,,1000.0,2026-05-04
B07DVGGMCL,amazon,Grocery,Rice & Pasta,Rice,"Elmatbakh Egyption Rice, 1 KG",Al Doha,38.0,38.0,,1000.0,2026-05-04
B0B34QF2S2,amazon,Grocery,Rice & Pasta,Rice,AL SA`A El Egyptian White Rice - 1 Kg,AL SA`A,38.5,38.5,1.0,1000.0,2026-05-04
B01JVF53FG,amazon,Grocery,Rice & Pasta,Pasta,El maleka penne pasta - 1 kg,Unknown,31.49,31.49,,,2026-05-04
B07CN4W513,amazon,Grocery,Rice & Pasta,Pasta,El Maleka Risoni - 400 Grams,ELMALEKA,14.5,14.5,1.0,400.0,2026-05-04
B07FZMDL1X,amazon,Grocery,Rice & Pasta,Pasta,"Elmatbakh Elmasry Penne Rigate Pasta, 400 gm",Al Doha,11.99,11.99,1.0,400.0,2026-05-04
B07J1Y5MBS,amazon,Grocery,Rice & Pasta,Noodles,"Indomie instant noodles meat flavour, 70 gm",Indomie,6.5,6.5,1.0,70.0,2026-05-04
B07CF4MH9V,amazon,Grocery,Rice & Pasta,Vermicelli,"El Matbakh Elmasry Vermicelli Pasta, 400 gm",Al Doha,14.95,14.95,1.0,400.0,2026-05-04
B09CF1WPPB,amazon,Grocery,Rice & Pasta,Vermicelli,"Lametna vermicelli pouch, 400 grams",Lametna,11.95,11.95,1.0,400.0,2026-05-04
B09SFFQFD3,amazon,Grocery,Rice & Pasta,Pasta,Lametna penne pasta pouch 1kg,Unknown,27.25,27.25,,,2026-05-04
B0DBLYMRMP,amazon,Grocery,Rice & Pasta,Pasta,(en-US) Eldoha Al Doha Creamy Pesto Sause Easy Pasta,Al Doha,16.0,16.0,1.0,160.0,2026-05-04
B0B839G48Z,amazon,Grocery,Rice & Pasta,Pasta,Hawaa Fuslli Pasta - 400 gm,Hawaa,15.25,15.25,,400.0,2026-05-04
B0BVRMLBR3,amazon,Grocery,Rice & Pasta,Pasta,El Maleka Meloky Spaghetti 400 g,El Maleka,14.5,14.5,1.0,400.0,2026-05-04
B09SFFNC34,amazon,Grocery,Rice & Pasta,Pasta,Lametna small rings pasta pouch 1kg,Lametna,27.25,27.25,,1010.0,2026-05-04
B00VHV3HK6,amazon,Grocery,Rice & Pasta,Pasta,Italiano serpentini 400g,Unknown,27.0,27.0,,,2026-05-04
B0DBM16LWH,amazon,Grocery,Rice & Pasta,Pasta,Italian Tomato Sauce Pasta,Al Doha,18.0,18.0,1.0,190.0,2026-05-04
B0C7GWMF6S,amazon,Grocery,Rice & Pasta,Rice,"Basata Rice Pasta,350 gm",Basata,10.0,10.0,1.0,350.0,2026-05-04
B09CDZJ8P8,amazon,Grocery,Rice & Pasta,Pasta,"Lametna Penne Pasta Pouch, 400 grams",Lametna,11.95,11.95,1.0,400.0,2026-05-04
B087CNRD8W,amazon,Grocery,Rice & Pasta,Grains,Al Doha Freekeh - 500 grams,Al Doha,60.94,60.94,,500.0,2026-05-04
B09SFFSTJP,amazon,Grocery,Rice & Pasta,Vermicelli,Lametna vermicelli pasta pouch 1kg,Lametna,32.0,32.0,1.0,1000.0,2026-05-04
B091Q6W4CH,amazon,Grocery,Rice & Pasta,Pasta,El maleka big rings - 1 kg,Unknown,31.49,31.49,,,2026-05-04
B0121LSNHM,amazon,Grocery,Rice & Pasta,Pasta,"Regina Pasta Spaghetti, 1.6m - 400g",Regina,25.95,25.95,1.0,400.0,2026-05-04
B0DFF46VT6,amazon,Grocery,Rice & Pasta,Pasta,Regina Rigatoni Pasta 400 g,Regina,26.99,26.99,1.0,400.0,2026-05-04
B0C7H6F73S,amazon,Grocery,Rice & Pasta,Noodles,"yummy Noodles Beef, 70g",Yummy,5.75,5.75,1.0,70.0,2026-05-04
B0C573Q75P,amazon,Grocery,Rice & Pasta,Rice,Al Doha rice with secret mixture- 320gm,Al Doha,34.9,34.9,1.0,320.0,2026-05-04
B08WJNF4Z5,amazon,Grocery,Rice & Pasta,Pasta,Regina pasta ribbon - 400g,Regina,25.95,25.95,1.0,400.0,2026-05-04
B09CDZYMD3,amazon,Grocery,Rice & Pasta,Pasta,Lametna small rings pasta pouch 400 grams,Lametna,11.95,11.95,1.0,400.0,2026-05-04
B00MNH1GXS,amazon,Grocery,Rice & Pasta,Noodles,"Indomie instant noodles curry flavour, 60 gm",Indomie,19.99,19.99,1.0,600.0,2026-05-04
B078SW9L4C,amazon,Grocery,Rice & Pasta,Pasta,El maleka elbow 400gm,Unknown,14.5,14.5,,,2026-05-04
B074QLW6VC,amazon,Grocery,Rice & Pasta,Rice,Abu Kass Indian Mazza Basmati Rice - 1 kg,Abu Kass,154.0,154.0,1.0,1000.0,2026-05-04
B0CJ3BY4M4,amazon,Grocery,Rice & Pasta,Rice,Al Doha Easy rice Sayadia Rice - 327 gm,Al Doha,24.0,24.0,1.0,327.0,2026-05-04
B07BYDJ3L6,amazon,Grocery,Rice & Pasta,Vermicelli,Al Doha Vermicelli Pasta - 400 gm,Al Doha,23.5,23.5,1.0,400.0,2026-05-04
B09SFGV51J,amazon,Grocery,Rice & Pasta,Pasta,"Lammetna Spaghetti Pasta Bag, 1 kg",Lametna,33.5,33.5,1.0,1000.0,2026-05-04
B098TVBDB6,amazon,Grocery,Rice & Pasta,Noodles,Samyang Korean Ramen Noodles are Pink - 2725483625158,Samyang,135.0,135.0,1.0,250.0,2026-05-04
B0FXGY1MJT,amazon,Grocery,Rice & Pasta,Noodles,Yoodles Noodles Beef Flavor - 60g,Yoodles,5.3,5.3,1.0,60.0,2026-05-04
B07BZ448QJ,amazon,Grocery,Rice & Pasta,Pasta,"Elmatbakh Elmasry Rings Pasta, 400 gm",Al Doha,11.99,11.99,1.0,400.0,2026-05-04
B083X1XYQP,amazon,Grocery,Rice & Pasta,Pasta,"Regina Pasta Penne, 10mm - 1kg",Regina,57.99,57.99,1.0,1000.0,2026-05-04
B08WJS8B8L,amazon,Grocery,Rice & Pasta,Pasta,"Regina pasta small rings, 6m - 1kg",Regina,57.99,57.99,1.0,1000.0,2026-05-04
B07G9G84J9,amazon,Grocery,Rice & Pasta,Rice,zamzam rice 5 kg,ZAMZAM,196.5,196.5,1.0,5000.0,2026-05-04
