source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Dairy Cheese and Eggs,كرتون كامل الدسم عرض 1 لتر ايدج 6 عبوات,https://www.noon.com/egypt-ar/full-cream-multipack-1-l-pack-of-6/Z9D48D86C44595540A820Z/p/?o=z9d48d86c44595540a820z-1,274.95,جهينه,1 لتر,6,6,,4.6,2432
noon,Grocery,Dairy Cheese and Eggs,حليب مجفف كامل الدسم 250جرام,https://www.noon.com/egypt-ar/full-cream-milk-powder-250grams/N28853932A/p/?o=f76a8bbfab64e9ec,98.00,ميرو,250 جرام,,,,4.4,151
noon,Grocery,Dairy Cheese and Eggs,حليب مجفف الأساسي 200 جرام,https://www.noon.com/egypt-ar/el-assassy-milk-powder-200-grams/Z442E406F02303E5A4CC4Z/p/?o=z442e406f02303e5a4cc4z-1,69.50,نيدو,200 جرام,,,,4.4,37
noon,Grocery,Dairy Cheese and Eggs,حليب مبخر كامل الدسم 410 جم,https://www.noon.com/egypt-ar/evaporated-milk-full-cream-410g/N29469525A/p/?o=fd8ad1e389eb896f,155.00,بوني,410 جم,2,2,,4.2,19
noon,Grocery,Dairy Cheese and Eggs,حليب جوز الهند للمحترفين 1لترات,https://www.noon.com/egypt-ar/coconut-milk-for-professionals-1liters/N43087760A/p/?o=f5a9b6b7d873c82f,263.25,ألبرو,1 لترات,8,8,,4.5,19
noon,Grocery,Dairy Cheese and Eggs,حليب مجفف كامل الدسم 700جرام,https://www.noon.com/egypt-ar/full-cream-milk-powder-700grams/N28853930A/p/?o=c23586019f09a77a,286.50,ميرو,700 جرام,2,2,,4.6,142
noon,Grocery,Dairy Cheese and Eggs,حليب بودرة للأطفال في مرحلة النمو 288جرام,https://www.noon.com/egypt-ar/growing-up-milk-powder-288grams/N28968522A/p/?o=e22350eef00736bc,171.00,نيدو,288 جرام,2,2,,4.5,28
noon,Grocery,Dairy Cheese and Eggs,حليب سريع التحضير بنكهة بسكويت الفانيليا 30جرام عبوة من 12 قطعة,https://www.noon.com/egypt-ar/vanilla-biscuit-flavored-instant-milk-30grams-pack-of-12/N28853942A/p/?o=bd3de6ddba71ffdd,112.25,ميرو,30 جرام,12,12,,4.4,21
noon,Grocery,Dairy Cheese and Eggs,حليب كامل الدسم 1لترات عبوة من 12 قطعة,https://www.noon.com/egypt-ar/full-cream-milk-1liters-pack-of-12/N28727620A/p/?o=e8e930771eb58f6e,607.00,جهينه,1 لترات,12,12,,4.5,1183
noon,Grocery,Dairy Cheese and Eggs,مسحوق حليب كامل الدسم 15جرام عبوة من 20 قطعة,https://www.noon.com/egypt-ar/full-cream-milk-powder-15grams-pack-of-20/N28853935A/p/?o=d9f968b330f35f0d,147.25,ميرو,15 جرام,20,20,,4.7,25
noon,Grocery,Dairy Cheese and Eggs,حليب مجفف كامل الدهن سريع الذوبان 700جرام,https://www.noon.com/egypt-ar/instant-fat-filled-milk-powder-700grams/N28853944A/p/?o=ccf0ecf71e06ff3b,191.75,تامبو,700 جرام,2,2,,4.2,78
