source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Pasta and Noodles,مكرونة بيني 1كيلوجرام,https://www.noon.com/egypt-ar/penne-pasta-macaroni-1kg/N52735700A/p/?o=ecdd7f6fb013f3fe,27.25,لامتنا,1 كيلوجرام,,,,4.5,255
noon,Grocery,Pasta and Noodles,معكرونة ريزوني 400جرام,https://www.noon.com/egypt-ar/rice-pasta-400grams/N48088347A/p/?o=bb154d700f1bd0bf,11.95,لامتنا,400 جرام,,,,4.5,289
noon,Grocery,Pasta and Noodles,معكرونة بينيه 1كيلوجرام,https://www.noon.com/egypt-ar/pasta-penne-1kg/N28863034A/p/?o=e8bac7d6472b758a,35.75,الملكة,1 كيلوجرام,,,,4.7,154
noon,Grocery,Pasta and Noodles,كشري فوري 188 جرام,https://www.noon.com/egypt-ar/instant-koshary-188grams/N42868082A/p/?o=a176b3c3eabb0afc,47.00,تيك تيك,188 جرام,,,,3.9,73
noon,Grocery,Pasta and Noodles,مكرونة كانيلوني,https://www.noon.com/egypt-ar/cannelloni-pasta-macoroni-250grams-single/N52735701A/p/?o=ac6d5e34f3643c8d,28.50,لامتنا,250 جرام,,,,4.6,78
noon,Grocery,Pasta and Noodles,504 Gateway Time-out,https://www.noon.com/egypt-ar/samyang-buldak-cream-carbonara-spicy-chicken-flavor-korean-ramen-noodles-140g/Z57A6E64364E24AFB60E2Z/p/?o=c8dc79920513c1bd,,,504 G,,,,,
noon,Grocery,Pasta and Noodles,اندومي السعودية – شعرية مقلية متبلة وحارة – عبوة 5×60 جرام | وجبة سريعة التحضير | طعم حار مميز,https://www.noon.com/egypt-ar/indomie-saudi-instant-noodles-spicy-fried-vermicelli-flavor-pack-of-5-60g-quick-easy-meal-authentic-saudi-indomie/Z59505E54B452EE88FC66Z/p/?o=c2669aa2696487ea,344.99,إندومي,60 جرام,5,5,,5,3
noon,Grocery,Pasta and Noodles,شعيرية 400جرام,https://www.noon.com/egypt-ar/vermicelli-400grams/N28991947A/p/?o=b71d03fa282ceb7c,15.50,الملكة,400 جرام,,,,4.7,143
noon,Grocery,Pasta and Noodles,عرض عبوتين بولداك جاجانج نودلز كورية حارة (2 × 140 جرام),https://www.noon.com/egypt-ar/buldak-jjajang-hot-chicken-korean-noodles-140g-pack-of-2/Z311F963D01C6302E0B5CZ/p/?o=fe049395c507516e,291.00,بالديك,140 جرام,,,,4,3
noon,Grocery,Pasta and Noodles,معكرونة شعيرية من فيرميسيلي 400جرام,https://www.noon.com/egypt-ar/vermicelli-pasta-400grams/N48088353A/p/?o=ea47502d12473c1b,11.95,لامتنا,400 جرام,,,,4.5,288
