source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Tea,شاي أسود 500 جرام,https://www.noon.com/egypt-ar/black-tea-500g/Z381EC15AEC5299666293Z/p/?o=z381ec15aec5299666293z-1,89.95,ليبتون,500 جرام,100,100,,4.5,2353
noon,Grocery,Tea,شاى أعشاب البقدونس والكرفس 18 فلتر,https://www.noon.com/egypt-ar/parsley-and-celery-herbal-tea-18-filters/Z7F0EAED49753DA39480AZ/p/?o=z7f0eaed49753da39480az-1,36.00,امتنان,500 جرام,18,18,,4.6,444
noon,Grocery,Tea,شاي أسود 100 كيس شاي 200 جرام,https://www.noon.com/egypt-ar/black-tea-100-tea-bags-200g/N35187598A/p/?o=dfed579d49a3e10d,98.95,ليبتون,200 جرام,100,100,,4.5,781
noon,Grocery,Tea,شاي كيني اسود ناعم 500 جرام,https://www.noon.com/egypt-ar/black-dust-kenyan-tea-500gm/Z052658C9357623A5CF41Z/p/?o=z052658c9357623a5cf41z-1,80.00,شاي سناء,500 جرام,6,6,,4.4,238
noon,Grocery,Tea,شاي كرك 23جرام عبوة من 12 قطعة,https://www.noon.com/egypt-ar/karak-tea-23grams-pack-of-12/N40027238A/p/?o=a0ed2c83b3c0f3bd,110.50,مذاق,23جرام,12,12,,4.4,110
noon,Grocery,Tea,"شاي الغزالين 250 جرام , شاي أسود ورقة كاملة ( أجود انواع الشاي السيلاني )",https://www.noon.com/egypt-ar/tea-250g-whole-leaf-black-tea-finest-ceylon-tea/ZE1DBAFA62A813772C6BFZ/p/?o=ze1dbafa62a813772c6bfz-1,225.00,الغزالين,250 جرام,3,3,,4.4,19
noon,Grocery,Tea,شاي كرك 12 كيس,https://www.noon.com/egypt-ar/karak-tea-12-sachets/ZDA62D3A5EBEBED7F838BZ/p/?o=zda62d3a5ebebed7f838bz-1,108.00,مذاق,200 جرام,12,12,,4.3,40
noon,Grocery,Tea,ماتشا الشاي الأخضر النقي بريميم - 50 جم,https://www.noon.com/egypt-ar/pure-matcha-green-tea-powder-premium-grade-50-gm/Z6498418B1A539791E45DZ/p/?o=z6498418b1a539791e45dz-1,285.00,ديان هاوس,50 جم,6,6,,3.8,42
noon,Grocery,Tea,شاي خرز أسود 250 جرام,https://www.noon.com/egypt-ar/black-kharaz-tea-250g/N28992175A/p/?o=aed76fd8f240df2d,75.25,ليبتون,250 جرام,,,,4.5,784
noon,Grocery,Tea,شاي البقدونس والكرفس عبوة من 18 قطعة,https://www.noon.com/egypt-ar/parsley-and-celery-tea-pack-of-18/N44154518A/p/?o=ae9e8a70776a8bba,91.00,امتنان,30 جرام,18,18,,4.3,79
