source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,"creal,oats,Jams&Honey",Black Honey 650grams,https://www.noon.com/egypt-en/black-honey-650grams/N40074717A/p/?o=d459103d7cf92eab,58.25,AL BAWADI,650g  |  EGP 8.96/100g
noon,Grocery,"creal,oats,Jams&Honey",Fig jam 650 grams,https://www.noon.com/egypt-en/fig-jam-650-grams/ZAD890806A37EE3AE16B0Z/p/?o=zad890806a37ee3ae16b0z-1,61,AL BAWADI,650g  |  EGP 9.38/100g
noon,Grocery,"creal,oats,Jams&Honey",Nesquik Cereal 330grams,https://www.noon.com/egypt-en/nesquik-cereal-330grams/N28968489A/p/?o=b61b62d0bb1a82ee,111,Nesquik,330g  |  EGP 33.64/100g
noon,Grocery,"creal,oats,Jams&Honey",said Korean Red Ginseng Golden Liquid 30g,https://www.noon.com/egypt-en/said-korean-red-ginseng-golden-liquid-30g/Z281DAB0FCE9342F92C46Z/p/?o=fae2e9ead0a7a18c,1950,SAMSIDAE,30g  |  EGP 6500.00/100g
noon,Grocery,"creal,oats,Jams&Honey",Premium Oat Flakes 500grams,https://www.noon.com/egypt-en/premium-oat-flakes-500grams/N42906482A/p/?o=c6c37ae31e151d6a,82.75,AL DOHA,500g  |  EGP 16.55/100g
noon,Grocery,"creal,oats,Jams&Honey",protein bar Hazelnut Bar 70grams,https://www.noon.com/egypt-en/protein-bar-hazelnut-bar-70grams/N51182040A/p/?o=ae7fccbda163064c,84.25,Abu Auf,70g  |  EGP 120.36/100g
noon,Grocery,"creal,oats,Jams&Honey",Couscous - 700 g,https://www.noon.com/egypt-en/couscous-700-g/Z6511FE2550A2C24EBC3EZ/p/?o=z6511fe2550a2c24ebc3ez-1,94.95,Mr. Food,700g  |  EGP 13.56/100g
noon,Grocery,"creal,oats,Jams&Honey",Jumbo Oats Set - 300 Gram,https://www.noon.com/egypt-en/jumbo-oats-set-300-gram/Z160669AC9F6317461082Z/p/?o=z160669ac9f6317461082z-1,66,Lino,300g  |  EGP 22.00/100g
noon,Grocery,"creal,oats,Jams&Honey",Arkan Premium Tahini Halva with Pistachio – 300g – Smooth Texture & Authentic Rich Nutty Flavor,https://www.noon.com/egypt-en/arkan-premium-tahini-halva-with-pistachio-300g-smooth-texture-authentic-rich-nutty-flavor/Z20B36B3D2515C11E30EDZ/p/?o=z20b36b3d2515c11e30edz-1,120,ARKAN,300g  |  EGP 40.00/100g
noon,Grocery,"creal,oats,Jams&Honey",Fruit Preserve Light Diet 340gm Strawberry Jam,https://www.noon.com/egypt-en/fruit-preserve-light-diet-340gm-strawberry-jam/ZF99F016E373C23B9998EZ/p/?o=zf99f016e373c23b9998ez-1,48,Halwani Bros,340g  |  EGP 14.12/100g
noon,Grocery,"creal,oats,Jams&Honey",Healthy spread original chocolate 210 gm,https://www.noon.com/egypt-en/healthy-spread-original-chocolate-210-gm/Z0566E605CFA30885CC9AZ/p/?o=z0566e605cfa30885cc9az-1,123.25,Healthy Spread,210g  |  EGP 58.69/100g
noon,Grocery,"creal,oats,Jams&Honey",Traditional Musli 350grams,https://www.noon.com/egypt-en/traditional-musli-350grams/N27747712A/p/?o=cceec962e1c64e2e,121,Sante,350g  |  EGP 34.57/100g
noon,Grocery,"creal,oats,Jams&Honey",Granola - Coconut with Superseeds 350 Grams,https://www.noon.com/egypt-en/granola-coconut-with-superseeds-350-grams/Z7795C871FD783C22D6F3Z/p/?o=ca208268b247f8ca,152.9,GoodHands,350g  |  EGP 43.69/100g
noon,Grocery,"creal,oats,Jams&Honey",Black Honey 340grams,https://www.noon.com/egypt-en/black-honey-340grams/N40074716A/p/?o=a27d855f5bb74b2f,27,El bawadi,340g  |  EGP 7.94/100g
noon,Grocery,"creal,oats,Jams&Honey",Clover honey 2 kg,https://www.noon.com/egypt-en/clover-honey-2-kg/Z50D7B3C01825D49ED1C0Z/p/?o=z50d7b3c01825d49ed1c0z-1,399,Shana nature house,2kg  |  EGP 19.95/100g
noon,Grocery,"creal,oats,Jams&Honey",Pistachio Crunchy Bites Spread 285g,https://www.noon.com/egypt-en/pistachio-crunchy-bites-spread-285g/Z0DA9936E6902915A8164Z/p/?o=fc8b7d656fff8baf,98.25,El bawadi,300g  |  EGP 32.75/100g
noon,Grocery,"creal,oats,Jams&Honey",Nutella - Hazelnut Spread with Cocoa - Perfect for Breakfast and Baking (Pack size 600 gm),https://www.noon.com/egypt-en/nutella-hazelnut-spread-with-cocoa-perfect-for-breakfast-and-baking-pack-size-600-gm/Z5A5EBD6856CD9EB646A5Z/p/?o=cfb03ab35a5eb80c,565,Nutella,600g  |  EGP 94.17/100g
noon,Grocery,"creal,oats,Jams&Honey",Dubai filling Kunafa & Pistachio 500 Gram,https://www.noon.com/egypt-en/dubai-filling-kunafa-pistachio-500-gram/Z6DA6119CD13785550967Z/p/?o=z6da6119cd13785550967z-1,243,ASMACUP,450g  |  EGP 54.00/100g
noon,Grocery,"creal,oats,Jams&Honey",Chocolate Breakfast Cereal 330g,https://www.noon.com/egypt-en/chocolate-breakfast-cereal-330g/ZA5E1CF2559A0D4861689Z/p/?o=a80ecb6e0d37687d,186,KitKat,330g  |  EGP 56.36/100g
noon,Grocery,"creal,oats,Jams&Honey","manuka honey 400mgo, 500g",https://www.noon.com/egypt-en/manuka-honey-400mgo-500g/Z66E9B9E668328868283CZ/p/?o=b0950c1704f2c7af,6999,Manuka health,500g  |  EGP 1399.80/100g
noon,Grocery,"creal,oats,Jams&Honey",High protein peanut butter 375g,https://www.noon.com/egypt-en/high-protein-peanut-butter-375g/ZBA56042CF2DDC41D61EBZ/p/?o=c1dd27d1ce8c74de,365,HEALTHY & TASTY,375g  |  EGP 97.33/100g
noon,Grocery,"creal,oats,Jams&Honey","Alsham NEBRAS Apricot Jam – Premium Natural Fruit Spread, Authentic Taste, Golden Lid Jar, 450g",https://www.noon.com/egypt-en/alsham-nebras-apricot-jam-premium-natural-fruit-spread-authentic-taste-golden-lid-jar-450g/Z8925E56E5B6129F00030Z/p/?o=z8925e56e5b6129f00030z-1,89.99,ALSHAM NEBRAS,450g  |  EGP 20.00/100g
noon,Grocery,"creal,oats,Jams&Honey","Maxtella - Soft Hazelnut Chocolate Spread with Cocoa Butter Substitutes, 200g",https://www.noon.com/egypt-en/maxtella-soft-hazelnut-chocolate-spread-with-cocoa-butter-substitutes-200g/Z57EDF6148520E2D85BE9Z/p/?o=z57edf6148520e2d85be9z-1,74.99,Maxtella,220g  |  EGP 34.09/100g
noon,Grocery,"creal,oats,Jams&Honey",Maxtella White Spread Chocolate – Creamy Cocoa Butter Substitute – Sweet White Chocolate Flavor – 350g Jar,https://www.noon.com/egypt-en/maxtella-white-spread-chocolate-creamy-cocoa-butter-substitute-sweet-white-chocolate-flavor-350g-jar/ZB1BCCBE9B56DF5292D8CZ/p/?o=zb1bccbe9b56df5292d8cz-1,175,Maxtella,900g  |  EGP 19.44/100g
noon,Grocery,"creal,oats,Jams&Honey",Nutella chocolate with hazelnut - 350 gm (Assorted Packaging),https://www.noon.com/egypt-en/nutella-chocolate-with-hazelnut-350-gm-assorted-packaging/Z329942EF4AD9E4F898E6Z/p/?o=ab909ee3d4d6cf9f,349.95,Nutella,350g  |  EGP 99.99/100g
noon,Grocery,"creal,oats,Jams&Honey",Choco Bites 225 Grams,https://www.noon.com/egypt-en/choco-bites-225-grams/ZC2E36A4FB5459FEA3804Z/p/?o=zc2e36a4fb5459fea3804z-1,82,Real,225g  |  EGP 36.44/100g
noon,Grocery,"creal,oats,Jams&Honey",Cranberries And Raisins Granola 350grams,https://www.noon.com/egypt-en/cranberries-and-raisins-granola-350grams/N39272815A/p/?o=e0a771e91ed734bf,195.25,Abu Auf,350g  |  EGP 55.79/100g
noon,Grocery,"creal,oats,Jams&Honey",Lotus Biscoff spread 400grams,https://www.noon.com/egypt-en/lotus-biscoff-spread-400grams/N39599812A/p/?o=a3f510447b7025ae,441,Lotus,400g  |  EGP 110.25/100g
noon,Grocery,"creal,oats,Jams&Honey",Shira sweetener mixture of honey and natural fructose 3 kg - 60% natural from Uni Smart Group,https://www.noon.com/egypt-en/shira-sweetener-mixture-of-honey-and-natural-fructose-3-kg-60-natural-from-uni-smart-group/Z41C9F155199374C36B71Z/p/?o=z41c9f155199374c36b71z-1,250,Uni Smart Group,3kg  |  EGP 8.33/100g
noon,Grocery,"creal,oats,Jams&Honey",Quaker White Oats – 100% Natural Whole Grain Oats – Heart Healthy & High Fiber – Perfect for Breakfast & Soup – 500g Pack,https://www.noon.com/egypt-en/quaker-white-oats-100-natural-whole-grain-oats-heart-healthy-high-fiber-perfect-for-breakfast-soup-500g-pack/Z061875817EC16B24A0FDZ/p/?o=d1503bdaa1e05a0b,320,Quaker,500g  |  EGP 64.00/100g
noon,Grocery,"creal,oats,Jams&Honey",Peanut Butter Gronola Crispy Cereal Flakes 350grams,https://www.noon.com/egypt-en/peanut-butter-gronola-crispy-cereal-flakes-350grams/N12280414A/p/?o=b73d09f44117a5aa,159.25,Sante,350g  |  EGP 45.50/100g
noon,Grocery,"creal,oats,Jams&Honey","Maxtella Raw Chocolate – Premium Cocoa, Special Offer, Baking & Desserts",https://www.noon.com/egypt-en/maxtella-raw-chocolate-premium-cocoa-special-offer-baking-desserts/Z42828349552AA91BC511Z/p/?o=z42828349552aa91bc511z-1,59.99,Maxtella,180g  |  EGP 0.33/g
noon,Grocery,"creal,oats,Jams&Honey",Nutella Spread (350g)  Rich Cocoa and Hazelnut Cream,https://www.noon.com/egypt-en/nutella-spread-350g-rich-cocoa-and-hazelnut-cream/ZE4DAAB162F53F36C1344Z/p/?o=a8a46606cc0e53aa,370,Nutella,350g  |  EGP 105.71/100g
noon,Grocery,"creal,oats,Jams&Honey",Oat Flakes Quick Cooking-600G,https://www.noon.com/egypt-en/oat-flakes-quick-cooking-600g/Z43362AAA47EE5298908AZ/p/?o=z43362aaa47ee5298908az-1,85,Organic Nation,600g  |  EGP 14.17/100g
noon,Grocery,"creal,oats,Jams&Honey",Arkan Halawa Tehenia with Extra Pistachios - 500g - Premium Quality & Rich Taste,https://www.noon.com/egypt-en/arkan-halawa-tehenia-with-extra-pistachios-500g-premium-quality-rich-taste/ZB0E453F008880C5D9D07Z/p/?o=zb0e453f008880c5d9d07z-1,400,ARKAN,500g  |  EGP 80.00/100g
noon,Grocery,"creal,oats,Jams&Honey",oats 500 grams,https://www.noon.com/egypt-en/oats-500-grams/Z407E2DA785C73C7EC709Z/p/?o=z407e2da785c73c7ec709z-1,76.5,Ragab El Attar,500g  |  EGP 15.30/100g
noon,Grocery,"creal,oats,Jams&Honey",Minis Cereals,https://www.noon.com/egypt-en/minis-cereals/Z65F7BDA0DA4081EBEAD9Z/p/?o=z65f7bda0da4081ebead9z-1,86,Nesquik,
noon,Grocery,"creal,oats,Jams&Honey",Choco Pillow Corn Flakes 250 grams,https://www.noon.com/egypt-en/choco-pillow-corn-flakes-250-grams/Z45EC3A1FD3B5EA3559D4Z/p/?o=z45ec3a1fd3b5ea3559d4z-1,43,Cornexi,250g  |  EGP 17.20/100g
noon,Grocery,"creal,oats,Jams&Honey",Gold Granola With Nuts And Honey 300grams,https://www.noon.com/egypt-en/gold-granola-with-nuts-and-honey-300grams/N42868001A/p/?o=d3b56ccf3c855b1d,181,Sante,300g  |  EGP 60.33/100g
noon,Grocery,"creal,oats,Jams&Honey",Arkan Premium Halva with Extra Walnuts – 500g | Authentic Middle Eastern Sesame Sweet | Traditional Dessert Egypt,https://www.noon.com/egypt-en/arkan-premium-halva-with-extra-walnuts-500g-authentic-middle-eastern-sesame-sweet-traditional-dessert-egypt/ZD3CE280CF402B0F17C89Z/p/?o=zd3ce280cf402b0f17c89z-1,250,ARKAN,500g  |  EGP 14.17/oz
noon,Grocery,"creal,oats,Jams&Honey",Fruit Muesli 350grams,https://www.noon.com/egypt-en/fruit-muesli-350grams/N13710064A/p/?o=e1d1bea2fc7b638a,168.25,Sante,350g  |  EGP 48.07/100g
noon,Grocery,"creal,oats,Jams&Honey",ماكستيلا سبريد الشوكولاتة بالبندق – 900 جرام | كريمة كاكاو بالبندق ناعمة للإفطار والحلويات,https://www.noon.com/egypt-en/900/Z7D5ADC5221BF351411D4Z/p/?o=z7d5adc5221bf351411d4z-1,175,ماكس تيلا,900g  |  EGP 19.44/100g
noon,Grocery,"creal,oats,Jams&Honey",Kind kids Spread Cream 350 gm,https://www.noon.com/egypt-en/kind-kids-spread-cream-350-gm/ZB375C232D32C8E5723CAZ/p/?o=zb375c232d32c8e5723caz-1,99,ASMACUP,350g  |  EGP 28.29/100g
