source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Dairy Cheese and Eggs,Gold Milk Powder 15grams,https://www.noon.com/egypt-en/gold-milk-powder-15grams/N35900973A/p/,269.00,Mora,15 grams,,,,3,21
noon,Grocery,Dairy Cheese and Eggs,Purity and Natural Taste! Almarai Full Fat Milk 1.5L,https://www.noon.com/egypt-en/purity-and-natural-taste-almarai-full-fat-milk-1-5l/Z8DD25E6DAA0877624783Z/p/,107.00,almaraae,1.5L,18,18,,,
noon,Grocery,Dairy Cheese and Eggs,Fat Filled Milk Powder 250grams,https://www.noon.com/egypt-en/fat-filled-milk-powder-250grams/N28853945A/p/,269.00,Tambo,250 grams,,,,3.5,44
noon,Grocery,Dairy Cheese and Eggs,Milk Powder 100 gram,https://www.noon.com/egypt-en/milk-powder-100-gram/ZAC002C75253979CA0EADZ/p/,269.00,Nido,100 grams,,,,4.3,104
noon,Grocery,Dairy Cheese and Eggs,"Strawberry Flavored Instant Milk, 30g Pack of 12",https://www.noon.com/egypt-en/strawberry-flavored-instant-milk-30g-pack-of-12/N28853940A/p/,269.00,Miro,30g,12,12,,4.1,30
noon,Grocery,Dairy Cheese and Eggs,"Rainbow Evaporated Milk with Vitamin D, 6 x 170g",https://www.noon.com/egypt-en/rainbow-evaporated-milk-with-vitamin-d-6-x-170g/Z53F3872E64901E1109EDZ/p/,107.00,Rainbow,170g,18,18,,4.5,
noon,Grocery,Dairy Cheese and Eggs,Skimmed milk 1.5Liters Pack of 8,https://www.noon.com/egypt-en/skimmed-milk-1-5liters-pack-of-8/N28727617A/p/,107.00,Juhayna,1.5 Liters,8,8,,4.6,40
noon,Grocery,Dairy Cheese and Eggs,Growing Up Milk Powder 288grams,https://www.noon.com/egypt-en/growing-up-milk-powder-288grams/N28968522A/p/,269.00,Nido,288 grams,6,6,,4.5,29
noon,Grocery,Dairy Cheese and Eggs,Instant Full Cream Powder Milk 1600g,https://www.noon.com/egypt-en/instant-full-cream-powder-milk-1600g/ZFA86081FB5D65F44F560Z/p/,269.00,Keshta,1600 grams,1,1,,4.3,170
noon,Grocery,Dairy Cheese and Eggs,Mix Milk Chocolate 200ml Pack of 27,https://www.noon.com/egypt-en/mix-milk-chocolate-200ml-pack-of-27/N29779251A/p/,107.00,Juhayna,200 ml,27,27,,4.7,183
noon,Grocery,Dairy Cheese and Eggs,Full Cream Milk 1Liters pack_of_12,https://www.noon.com/egypt-en/full-cream-milk-1liters-pack-of-12/N29761931A/p/,107.00,Almarai,1 Liters,18,18,,4.5,193
noon,Grocery,Dairy Cheese and Eggs,Powdered Milk for Children After the First Year - 576 grams,https://www.noon.com/egypt-en/powdered-milk-for-children-after-the-first-year-576-grams/Z54D239C312096820EC54Z/p/,269.00,Nido,576 grams,12,12,,4.6,25
noon,Grocery,Dairy Cheese and Eggs,Instant Fat Filled Milk Powder 1.5kg,https://www.noon.com/egypt-en/instant-fat-filled-milk-powder-1-5kg/N28853943A/p/,269.00,Tambo,1.5 kg,,,,4.2,110
noon,Grocery,Dairy Cheese and Eggs,Skimmed Milk Multipack 1 L - Pack of 6,https://www.noon.com/egypt-en/skimmed-milk-multipack-1-l-pack-of-6/Z1F3AB0783CDE29C8BCAAZ/p/,107.00,Juhayna,1 L,6,6,,4.6,93
noon,Grocery,Dairy Cheese and Eggs,Rainbow Evaporated Milk With Vitamin D 2*170 gm,https://www.noon.com/egypt-en/rainbow-evaporated-milk-with-vitamin-d-2-170-gm/Z6EF6C2ECA26D0B2B9DB5Z/p/,107.00,Rainbow,2*170 ml,2,2,,5,3
noon,Grocery,Dairy Cheese and Eggs,Skimmed Milk Powder 700grams,https://www.noon.com/egypt-en/skimmed-milk-powder-700grams/N28853936A/p/,269.00,Miro,700 grams,,,,4.5,103
noon,Grocery,Dairy Cheese and Eggs,Full Cream Milk Powder 700grams,https://www.noon.com/egypt-en/full-cream-milk-powder-700grams/N28853930A/p/,269.00,Miro,700 grams,6,6,,4.6,145
