source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,"Dried Beans, Grains and Rice",Peeled Wheat 500grams,https://www.noon.com/egypt-en/peeled-wheat-500grams/N27719618A/p/,120.00,AL DOHA,500 grams,,,,4.4,52
noon,Grocery,"Dried Beans, Grains and Rice",Basmati Rice 5kg,https://www.noon.com/egypt-en/basmati-rice-5kg/N29834274A/p/,120.00,Shahy,5 kg,,,,3.6,11
noon,Grocery,"Dried Beans, Grains and Rice","Rice , sugar and spices",https://www.noon.com/egypt-en/rice-sugar-and-spices/ZD0D20D45655A40432297Z/p/,120.00,Saltana,Medium Grain,13,13,,3.8,13
noon,Grocery,"Dried Beans, Grains and Rice",White Rice 5 kg,https://www.noon.com/egypt-en/white-rice-5-kg/Z57039A488805A47AFFF5Z/p/,120.00,Haboba,5 kg,,,,4.1,608
noon,Grocery,"Dried Beans, Grains and Rice",White Beans 500grams,https://www.noon.com/egypt-en/white-beans-500grams/N52406613A/p/,120.00,Haboba,500 grams,,,,4.4,91
noon,Grocery,"Dried Beans, Grains and Rice",Mr. Food Bulgur - 500g.,https://www.noon.com/egypt-en/mr-food-bulgur-500g/Z407D5FD35DB39D18CEC6Z/p/,120.00,Mr. Food,500 grams,8,8,,3.5,30
noon,Grocery,"Dried Beans, Grains and Rice",Easy Rice 330g,https://www.noon.com/egypt-en/easy-rice-330g/ZA6EEA580AA2F54D12D53Z/p/,120.00,AL DOHA,330 grams,,,,4.6,45
noon,Grocery,"Dried Beans, Grains and Rice",Freekeh 500 grams,https://www.noon.com/egypt-en/freekeh-500-grams/Z34E7962DEFF4EEB59E41Z/p/,120.00,Ragab El Attar,500 grams,,,,4.6,14
noon,Grocery,"Dried Beans, Grains and Rice",Premium Egyptian White Rice 5kg Single,https://www.noon.com/egypt-en/premium-egyptian-white-rice-5kg-single/N27665623A/p/,120.00,Zamzam,5 kg,,,,4.5,94
noon,Grocery,"Dried Beans, Grains and Rice",Bulgur 500grams,https://www.noon.com/egypt-en/bulgur-500grams/N38705930A/p/,120.00,Rehana,500 grams,,,,4.2,56
noon,Grocery,"Dried Beans, Grains and Rice",Egyptian Lobia 500grams,https://www.noon.com/egypt-en/egyptian-lobia-500grams/N52406610A/p/,120.00,Haboba,500 grams,,,,4.4,128
