source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,Herbs&spices,Black Seed 100 gm,https://www.noon.com/egypt-en/black-seed-100-gm/Z413EEBC7AA64A3F4FA42Z/p/?o=z413eebc7aa64a3f4fa42z-1,65.00,ZARY,100g  |  EGP 65.00/100g
noon,Grocery,Herbs&spices,Garlic Powder 90grams,https://www.noon.com/egypt-en/garlic-powder-90grams/N28727396A/p/?o=ae2247896901d8cf,50.25,Abu Auf,90g  |  EGP 55.83/100g
noon,Grocery,Herbs&spices,Broasted Chicken Seasoning,https://www.noon.com/egypt-en/broasted-chicken-seasoning/ZC71CC9B6388773CC5A24Z/p/?o=zc71cc9b6388773cc5a24z-1,30.00,Brava,
noon,Grocery,Herbs&spices,Organic Cinnamon Sticks 70g,https://www.noon.com/egypt-en/organic-cinnamon-sticks-70g/Z70F4099573230D66975BZ/p/?o=b8e5a4d709efa49d,82.00,Imtenan,70g  |  EGP 117.14/100g
noon,Grocery,Herbs&spices,Black Pepper Powder 70g,https://www.noon.com/egypt-en/black-pepper-powder-70g/Z78CABF2977903C233DC6Z/p/?o=d0710adfad8ce85a,70.75,Haj Arafa,70g  |  EGP 1.01/g
noon,Grocery,Herbs&spices,Cajun Seasoning - 40 grams,https://www.noon.com/egypt-en/cajun-seasoning-40-grams/Z6716C442C526309343D3Z/p/?o=z6716c442c526309343d3z-1,47.75,AL DOHA,40g  |  EGP 119.38/100g
noon,Grocery,Herbs&spices,Milled Black Pepper 45g,https://www.noon.com/egypt-en/milled-black-pepper-45g/Z1B3FB37849F87456D8A0Z/p/?o=z1b3fb37849f87456d8a0z-1,63.00,Dayma,45g  |  EGP 39.69/oz
noon,Grocery,Herbs&spices,Refined Stevia Sugar 150g,https://www.noon.com/egypt-en/refined-stevia-sugar-150g/Z19521FDD183A421EA556Z/p/?o=f6363568a1e12cff,221.00,Shana,150g  |  EGP 147.33/100g
noon,Grocery,Herbs&spices,Herbs (cinnamon rosemary thyme ginger turmeric) 295gm,https://www.noon.com/egypt-en/herbs-cinnamon-rosemary-thyme-ginger-turmeric-295gm/Z2D460629D3433F635D04Z/p/?o=z2d460629d3433f635d04z-1,190.00,Saltana,285g  |  EGP 66.67/100g
noon,Grocery,Herbs&spices,Wafery Flaxseed 250 gm,https://www.noon.com/egypt-en/wafery-flaxseed-250-gm/Z9BF556C5AC91E5DDA4F3Z/p/?o=z9bf556c5ac91e5dda4f3z-1,54.00,ZARY,250g  |  EGP 21.60/100g
noon,Grocery,Herbs&spices,Black Seed 85grams,https://www.noon.com/egypt-en/black-seed-85grams/N28727386A/p/?o=cd8aa1741494fd5f,58.25,Abu Auf,85g  |  EGP 0.69/g
noon,Grocery,Herbs&spices,cloves 50 gm,https://www.noon.com/egypt-en/cloves-50-gm/Z8598F53A01D4F8AAE56AZ/p/?o=z8598f53a01d4f8aae56az-1,120.00,Saltana,50g  |  EGP 2.40/g
