source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,oils,Corn Oil 3.5Liters,https://www.noon.com/egypt-en/corn-oil-3-5liters/N33645784A/p/,269.00,Crystal,3.5 Liters,,,,4.6,296
noon,Grocery,oils,Yellow Vegetable Ghee 2.5kg,https://www.noon.com/egypt-en/yellow-vegetable-ghee-2-5kg/N27711259A/p/,269.00,Crystal,2.5 kg,,,,4.3,185
noon,Grocery,oils,Extra Virgin Olive Oil - 1Liters,https://www.noon.com/egypt-en/extra-virgin-olive-oil-1liters/N43406260A/p/,269.00,Iliada,1 Liters,,,,5,1
noon,Grocery,oils,Corn Oil 2.2Liters,https://www.noon.com/egypt-en/corn-oil-2-2liters/N44048417A/p/,269.00,Afia,2.2 Liters,,,,4.6,496
noon,Grocery,oils,Organic Apple cider vinegar 295ml with the mothers,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-295ml-with-the-mothers/Z59C8C0ECFFE69B8BD0DFZ/p/,269.00,Bragg,295 ml,,,,4.3,51
noon,Grocery,oils,Natural Apple Vinegar - 300 Ml,https://www.noon.com/egypt-en/natural-apple-vinegar-300-ml/Z7A705B434AB5AA45C1FDZ/p/,269.00,Negmet El Zeitoun,300 Ml,1,1,,4.5,356
noon,Grocery,oils,Sunflower Oil 5Liters,https://www.noon.com/egypt-en/sunflower-oil-5liters/N27711268A/p/,269.00,Crystal,5 Liters,,,,4.6,1338
noon,Grocery,oils,Sunflower Oil 2.25Liters,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711419A/p/,269.00,Al-Asil,2.25 Liters,,,,4.3,163
noon,Grocery,oils,Sunflower Oil 2.2Liters,https://www.noon.com/egypt-en/sunflower-oil-2-2liters/N28863020A/p/,269.00,Crystal,2.2 Liters,,,,4.7,557
noon,Grocery,oils,Mixed Oil 2.5 liters,https://www.noon.com/egypt-en/mixed-oil-2-5-liters/Z9F7FD8A31012FE0425D3Z/p/,269.00,El Momtaz,2.5 liter,,,,4.4,67
noon,Grocery,oils,Extra Virgin Olive Oil 2Liters,https://www.noon.com/egypt-en/extra-virgin-olive-oil-2liters/N29595408A/p/,269.00,Wadi Food,2 Liters,,,,3.7,6
noon,Grocery,oils,Extra Virgan Olive Oil 1L,https://www.noon.com/egypt-en/extra-virgan-olive-oil-1l/ZC549B0B2DC1F6A1C88B6Z/p/,269.00,Nuri,1L,,,,4.3,3
noon,Grocery,oils,Organic Apple Cider Vinegar 250ml,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-250ml/Z6AD2D0A28A083E6A5031Z/p/,269.00,Imtenan,250 ml,,,,3.9,25
noon,Grocery,oils,New Zealand Butter Flavored Ghee Super 1.5 kg,https://www.noon.com/egypt-en/new-zealand-butter-flavored-ghee-super-1-5-kg/ZE84796F2FD278046CE0AZ/p/,269.00,Ganna,1.5 kg,,,,4.5,67
noon,Grocery,oils,Sunflower Oil 2.25Liters,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711426A/p/,269.00,Halla,2.25 Liters,,,,4.6,162
noon,Grocery,oils,Butter spray low calorie 200ml,https://www.noon.com/egypt-en/butter-spray-low-calorie-200ml/Z97EDB404FF7202385192Z/p/,269.00,Spritz,200ml,4,4,,4.9,9
noon,Grocery,oils,Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N27711434A/p/,269.00,Qaleya,4.5 Liters,,,,4.7,374
noon,Grocery,oils,SunFlower Oil 2.1Liters,https://www.noon.com/egypt-en/sunflower-oil-2-1liters/N28863155A/p/,269.00,Slite,2.1 Liters,,,,4.6,304
noon,Grocery,oils,Al Tayebat Pure Organic Apple Vinegar 330ml Raw Unfiltered,https://www.noon.com/egypt-en/al-tayebat-pure-organic-apple-vinegar-330ml-raw-unfiltered/Z973893E1B21C4F518889Z/p/,269.00,altayebat,330ml,,,,4,25
noon,Grocery,oils,Natural Virgin Coconut Oil 400g,https://www.noon.com/egypt-en/natural-virgin-coconut-oil-400g/Z54E6C7698A058C411FC5Z/p/,269.00,Elhawag,400 grams,1,1,,3.7,25
noon,Grocery,oils,Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N28863089A/p/,269.00,Helwa,4.5 Liters,,,,4.5,864
noon,Grocery,oils,Ghee 700grams,https://www.noon.com/egypt-en/ghee-700grams/N51065283A/p/,269.00,Ganna,700 grams,,,,4.6,86
noon,Grocery,oils,Natural Vinegar 1Liters,https://www.noon.com/egypt-en/natural-vinegar-1liters/N30522054A/p/,269.00,Rehana,1 Liters,,,,4.8,153
noon,Grocery,oils,Mixed Oil 2.25Liters,https://www.noon.com/egypt-en/mixed-oil-2-25liters/N28863088A/p/,269.00,Helwa,2.25 Liters,,,,4.6,556
noon,Grocery,oils,Pure Butter Oil 2kg,https://www.noon.com/egypt-en/pure-butter-oil-2kg/N34324120A/p/,269.00,Sheraton,2 kg,,,,4.7,94
noon,Grocery,oils,Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N27711430A/p/,269.00,Hedeya,4.5 Liters,,,,4.6,223
noon,Grocery,oils,Mixed Oil 2.1Liters,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N27711433A/p/,269.00,Qaleya,2.1 Liters,,,,4.6,111
noon,Grocery,oils,Natural Butter Ghee 1.6kg,https://www.noon.com/egypt-en/natural-butter-ghee-1-6kg/N34324125A/p/,269.00,Haloub Al Missalia,1.6 kg,,,,4.8,30
noon,Grocery,oils,SunFlower Oil 1.5Liters,https://www.noon.com/egypt-en/sunflower-oil-1-5liters/N28863154A/p/,269.00,Slite,1.5 Liters,,,,4.6,286
noon,Grocery,oils,ONIC Naturally Yours | Extra Virgin Coconut Oil – 300ml | 100% Pure & Unrefined | Cold-Pressed from Fresh Coconut Flesh | Easy-Open Tin Can with Cap,https://www.noon.com/egypt-en/onic-naturally-yours-extra-virgin-coconut-oil-300ml-100-pure-unrefined-cold-pressed-from-fresh-coconut-flesh-easy-open-tin-can-with-cap/Z43F7E0C4E79615A38CD5Z/p/,269.00,ONIC,300ml,,,,4.2,18
noon,Grocery,oils,Organic Fermented Apple Cider Vinegar 946ml,https://www.noon.com/egypt-en/organic-fermented-apple-cider-vinegar-946ml/Z51A970CAAC55D23A4D20Z/p/,269.00,CALIFORNIA EGMONT,946 ml,,,,4.4,154
noon,Grocery,oils,"Organic MCT Oil (C8 + C10 + C12), 16 fl oz (473 ml}",https://www.noon.com/egypt-en/organic-mct-oil-c8-c10-c12-16-fl-oz-473-ml/Z5FF076E252F2A23F84D4Z/p/,269.00,SPORTS RESEARCH,473 ml,,,,5,4
noon,Grocery,oils,Mixed Oil 2.1Liters,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N29980049A/p/,269.00,Hanady,2.1 Liters,,,,4.4,391
noon,Grocery,oils,Extra Virgin Olive Oil 1 Litre,https://www.noon.com/egypt-en/extra-virgin-olive-oil-1-litre/ZCA607809AF6CCF86E40CZ/p/,269.00,Basso,1,,,,5,1
noon,Grocery,oils,White Natural Vinegar 900ml,https://www.noon.com/egypt-en/white-natural-vinegar-900ml/N52406599A/p/,269.00,Haboba,900 ml,8,8,,4.6,130
