source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,oils,Sunflower Oil 1.6Liters,https://www.noon.com/egypt-en/sunflower-oil-1-6liters/N28862998A/p/?o=a858fb0239f218bd,173.75,Afia,1.6L  |  EGP 108.59/L
noon,Grocery,oils,Organic Apple cider vinegar 295ml with the mothers,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-295ml-with-the-mothers/Z59C8C0ECFFE69B8BD0DFZ/p/?o=de19ad35488c82ea,445,Bragg,295ml  |  EGP 150.85/100ml
noon,Grocery,oils,Ghee 700grams,https://www.noon.com/egypt-en/ghee-700grams/N51065283A/p/?o=d636bb0c1c9eb47c,79,Ganna,700g  |  EGP 11.29/100g
noon,Grocery,oils,Organic Apple Cider Vinegar 250ml,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-250ml/Z6AD2D0A28A083E6A5031Z/p/?o=z6ad2d0a28a083e6a5031z-1,102.95,Imtenan,250ml  |  EGP 41.18/100ml
noon,Grocery,oils,New Zealand Butter Flavored Ghee Super 1.5 kg,https://www.noon.com/egypt-en/new-zealand-butter-flavored-ghee-super-1-5-kg/ZE84796F2FD278046CE0AZ/p/?o=ze84796f2fd278046ce0az-1,174.95,Ganna,1.5kg  |  EGP 11.66/100g
noon,Grocery,oils,Mixed Oil 2.1Liters,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N27711433A/p/?o=dc11cb02f2cb42dd,171,Qaleya,2.1L  |  EGP 8.14/100ml
noon,Grocery,oils,Extra Virgan Olive Oil 1L,https://www.noon.com/egypt-en/extra-virgan-olive-oil-1l/ZC549B0B2DC1F6A1C88B6Z/p/?o=e8974b996b90e0eb,730,Nuri,1000ml  |  EGP 73.00/100ml
noon,Grocery,oils,New Zealand ghee 2.5 KG,https://www.noon.com/egypt-en/new-zealand-ghee-2-5-kg/Z8CC6D45FE48402F47C9AZ/p/?o=z8cc6d45fe48402f47c9az-1,299.95,Ganna,2.5kg  |  EGP 12.00/100g
noon,Grocery,oils,Organic Fermented Apple Cider Vinegar - 946 ml,https://www.noon.com/egypt-en/organic-fermented-apple-cider-vinegar-946-ml/ZE19D476916E9BA861DD3Z/p/?o=ze19d476916e9ba861dd3z-1,173,CALIFORNIA EGMONT,946ml  |  EGP 18.29/100ml
noon,Grocery,oils,Natural Coconut Oil 500g,https://www.noon.com/egypt-en/natural-coconut-oil-500g/Z4D0D05EB6261E2A979DBZ/p/?o=z4d0d05eb6261e2a979dbz-1,213.75,Elhawag,500g  |  EGP 42.75/100g
noon,Grocery,oils,Al Tayebat Pure Organic Apple Vinegar 330ml Raw Unfiltered,https://www.noon.com/egypt-en/al-tayebat-pure-organic-apple-vinegar-330ml-raw-unfiltered/Z973893E1B21C4F518889Z/p/?o=z973893e1b21c4f518889z-1,65,altayebat,330ml  |  EGP 19.70/100ml
noon,Grocery,oils,Frying And Cooking Mixed Oil 0.7Liters,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-0-7liters/N42554208A/p/?o=fc9306cbbac6a9de,74,Hanady,700ml  |  EGP 10.57/100ml
noon,Grocery,oils,Apple Cider Vinegar 250ml,https://www.noon.com/egypt-en/apple-cider-vinegar-250ml/N35958690A/p/?o=bafb486c169202ff,35.25,DOBELLA,250ml  |  EGP 14.10/100ml
noon,Grocery,oils,"Organic MCT Oil (C8 + C10 + C12), 16 fl oz (473 ml}",https://www.noon.com/egypt-en/organic-mct-oil-c8-c10-c12-16-fl-oz-473-ml/Z5FF076E252F2A23F84D4Z/p/?o=ea07eec7fb00498d,3999,SPORTS RESEARCH,473ml  |  EGP 845.45/100ml
noon,Grocery,oils,Natural Apple Vinegar - 300 Ml,https://www.noon.com/egypt-en/natural-apple-vinegar-300-ml/Z7A705B434AB5AA45C1FDZ/p/?o=z7a705b434ab5aa45c1fdz-1,35,Negmet El Zeitoun,300ml  |  EGP 11.67/100ml
noon,Grocery,oils,Apple Sider 250ml,https://www.noon.com/egypt-en/apple-sider-250ml/ZC66A004DB7D9DD590842Z/p/?o=zc66a004db7d9dd590842z-1,105.75,Haj Arafa,250ml  |  EGP 42.30/100ml
noon,Grocery,oils,Mixed Oil 2.1Liters,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N29980049A/p/?o=ce320084d890b8ca,175.75,Hanady,2.1L  |  EGP 8.37/100ml
noon,Grocery,oils,Extra Virgin Olive Oil 500ml,https://www.noon.com/egypt-en/extra-virgin-olive-oil-500ml/N29595411A/p/?o=fe8fc5f77e86359e,483,Wadi Food,500ml  |  EGP 96.60/100ml
