source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Beverages,Soft Drinks,Monin Premium Coconut Flavored Syrup for Coffee and Beverages - 1L,https://www.noon.com/egypt-en/monin-premium-coconut-flavored-syrup-for-coffee-and-beverages-1l/Z6703CA04278B25D0F2E6Z/p/,107.00,Monin,1L,,,,4.5,
noon,Beverages,Soft Drinks,Schweppes Sparkling Pomegranate Flavoured Drink - 1L per Bottle - Pack of 6 Bottles,https://www.noon.com/egypt-en/schweppes-sparkling-pomegranate-flavoured-drink-1l-per-bottle-pack-of-6-bottles/Z8A1B0A875277070421A2Z/p/,107.00,Schweppes,1L,6,6,,4.5,
noon,Beverages,Soft Drinks,Carbonated Drink With Lemon Lime Flavor 275ml,https://www.noon.com/egypt-en/carbonated-drink-with-lemon-lime-flavor-275ml/ZF4F351E5835F13F22788Z/p/,107.00,ZEE,275,,,,4.2,
noon,Beverages,Soft Drinks,Alpro Almond No Sugars Plant-Based Drink With Calcium - 1L,https://www.noon.com/egypt-en/alpro-almond-no-sugars-plant-based-drink-with-calcium-1l/Z454CB59B997E0FF62EB2Z/p/,107.00,Alpro,1L,,,,4.5,
noon,Beverages,Soft Drinks,Miranda Orange 2.43Liters,https://www.noon.com/egypt-en/miranda-orange-2-43liters/N28991815A/p/,107.00,Mirinda,2.43 Liters,,,,4.6,21
noon,Beverages,Soft Drinks,Naturally Sweetened Cola With Monk Fruit – 5 Bottles + 1 Free,https://www.noon.com/egypt-en/naturally-sweetened-cola-with-monk-fruit-5-bottles-1-free/Z9BAE150CD8C35D9D099DZ/p/,107.00,LAKANTO,400 ml - 5 Bottles + 1 Free,,,,5,
noon,Beverages,Soft Drinks,Rita Mixed Berries Sparkling Drink - Pack of 2 (240ml each) | Refreshing Fruit Flavor | Zesty & Bubbly,https://www.noon.com/egypt-en/rita-mixed-berries-sparkling-drink-pack-of-2-240ml-each-refreshing-fruit-flavor-zesty-bubbly/Z131242F494C492EBEB65Z/p/,107.00,Rita,240ml,2,2,,2,
noon,Beverages,Soft Drinks,Monin Premium Mango Flavored Syrup for Mocktails and Beverages - 700 ml,https://www.noon.com/egypt-en/monin-premium-mango-flavored-syrup-for-mocktails-and-beverages-700-ml/Z7253C7A2492A7ABF4064Z/p/,107.00,Monin,700 ml,,,,4.5,
noon,Beverages,Soft Drinks,7 UP 150ml 2,https://www.noon.com/egypt-en/7-up-150ml-2/ZFBED6F3DD75FEC394789Z/p/,107.00,7 Up,150ml,6,6,,2,
noon,Beverages,Soft Drinks,Monin Premium Crème Brûlée Flavored Syrup for Coffee and Beverages - 700ml,https://www.noon.com/egypt-en/monin-premium-cr-me-br-l-e-flavored-syrup-for-coffee-and-beverages-700ml/Z96877B7FC42C92ACCD29Z/p/,107.00,Monin,700ml,,,,4.5,
noon,Beverages,Soft Drinks,"Kinza Citrus Soft Drink, 300 ml – Pack of 3 | Refreshing Carbonated Citrus Beverage | Crisp Lemon & Lime Flavor",https://www.noon.com/egypt-en/kinza-citrus-soft-drink-300-ml-pack-of-3-refreshing-carbonated-citrus-beverage-crisp-lemon-lime-flavor/Z1ED223E5D51E49E2C57FZ/p/,107.00,Kinza,300 ml,3,3,,3,
noon,Beverages,Soft Drinks,Monin Premium Caramel Flavored Syrup for Coffee and Beverages - 1L,https://www.noon.com/egypt-en/monin-premium-caramel-flavored-syrup-for-coffee-and-beverages-1l/ZD8D9CA5283326E280DB9Z/p/,107.00,Monin,1L,,,,4.5,
noon,Beverages,Soft Drinks,Monin Premium Peach Tea Syrup for Iced Tea and Refreshing Beverages - 1L,https://www.noon.com/egypt-en/monin-premium-peach-tea-syrup-for-iced-tea-and-refreshing-beverages-1l/Z01D3C691117BE1E8CDADZ/p/,107.00,Monin,1L,,,,4.5,
noon,Beverages,Soft Drinks,Forever Citron Lemon Flavored Sparkling Water 330ml,https://www.noon.com/egypt-en/forever-citron-lemon-flavored-sparkling-water-330ml/ZD287102C5033E4A3CB1AZ/p/,107.00,Maison Perrier,330 ml,,,,4.8,
noon,Beverages,Soft Drinks,Soft Drink With Red Grape Flavor 250 ml,https://www.noon.com/egypt-en/soft-drink-with-red-grape-flavor-250-ml/Z4939BD669A65AD44067CZ/p/,107.00,Rauch,250,12,12,,4,2
noon,Beverages,Soft Drinks,Pepsi Cream Soda Zero Sugar 330ml,https://www.noon.com/egypt-en/pepsi-cream-soda-zero-sugar-330ml/ZEC12320BB640CED5DBECZ/p/,107.00,Pepsi,330ml,,,,4.5,
noon,Beverages,Soft Drinks,Soft Drink 2.43 Liters,https://www.noon.com/egypt-en/soft-drink-2-43-liters/Z1C22B28299F41A4A3FA4Z/p/,107.00,Pepsi,2.43 Liters,24,24,,4.6,7
noon,Beverages,Soft Drinks,Stevia Soft Drink 330ml,https://www.noon.com/egypt-en/stevia-soft-drink-330ml/N47874273A/p/,107.00,Green Cola,330 ml,,,,4.5,33
noon,Beverages,Soft Drinks,Energy Drink 250ml Pack of 4,https://www.noon.com/egypt-en/energy-drink-250ml-pack-of-4/N51736580A/p/,107.00,Power Horse,250 ml,4,4,,4.6,9
noon,Beverages,Soft Drinks,Alpro Barista Oat Plant-Based Drink Source of Fiber - 1L,https://www.noon.com/egypt-en/alpro-barista-oat-plant-based-drink-source-of-fiber-1l/Z9CF8D44EF6F3B784BDE3Z/p/,434.00,Alpro,1L,1,1,,4.5,
noon,Beverages,Soft Drinks,Monin Premium Salted Caramel Flavored Syrup for Coffee and Beverages - 700ml,https://www.noon.com/egypt-en/monin-premium-salted-caramel-flavored-syrup-for-coffee-and-beverages-700ml/ZAE1B6F968F0AC94B7E45Z/p/,107.00,Monin,700ml,,,,4.5,
noon,Beverages,Soft Drinks,Mogu Mogu Watermelon Juice 320ml,https://www.noon.com/egypt-en/mogu-mogu-watermelon-juice-320ml/Z6DB52887F7B33EE13C2EZ/p/,107.00,موجو موجو,320ml,2,2,,3,
noon,Beverages,Soft Drinks,Vimto Original Fruit Cordial Concentrated Syrup - 710ml,https://www.noon.com/egypt-en/vimto-original-fruit-cordial-concentrated-syrup-710ml/Z7EEFDD1F12DA00923B9DZ/p/,107.00,Vimto,710ml,,,,4.6,
noon,Beverages,Soft Drinks,Monin Premium Pure Cane Sugar Flavored Syrup for Coffee and Beverages - 1L,https://www.noon.com/egypt-en/monin-premium-pure-cane-sugar-flavored-syrup-for-coffee-and-beverages-1l/Z6BD72839E55C700390FBZ/p/,107.00,Monin,1L,,,,4.5,
noon,Beverages,Soft Drinks,"Lipton Ice Tea French Tropical, Ready-to-Drink Iced Tea with Tropical Fruit Flavor, 330ml Cans, Pack of 2",https://www.noon.com/egypt-en/lipton-ice-tea-french-tropical-ready-to-drink-iced-tea-with-tropical-fruit-flavor-330ml-cans-pack-of-2/ZA24A74B075949BE3080FZ/p/,107.00,Lipton Tea,330ml,2,2,,,
