source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Tea,Milk Bubble Tea 235 ml,https://www.noon.com/egypt-en/milk-bubble-tea-235-ml/Z09AA4D4AE3C620175A7DZ/p/,107.00,WOW,235 ml,,,,4.1,
noon,Grocery,Tea,Instant Premix Cardamom Karak Tea 14grams Pack of 10,https://www.noon.com/egypt-en/instant-premix-cardamom-karak-tea-14grams-pack-of-10/N27673313A/p/,107.00,Karak Tea,14g,10,10,,4.7,9
noon,Grocery,Tea,VINUR Organic Hibiscus & Rose Herbal Tea – 20 Pyramidal Tea Bags,https://www.noon.com/egypt-en/vinur-organic-hibiscus-rose-herbal-tea-20-pyramidal-tea-bags/ZEFA1A862F7BFBC43DBC5Z/p/,107.00,VINUR,500g,20,20,,4.2,21
noon,Grocery,Tea,St John'S Herbal Tea 18 Filter,https://www.noon.com/egypt-en/st-john-s-herbal-tea-18-filter/ZAF642A9EDF3534934BDCZ/p/,107.00,Imtenan,500g,12,12,,4.1,37
noon,Grocery,Tea,"Instant Karak Chai Tea with Creamer, Sugar & Cardamom, 8 x 25gm Sachets",https://www.noon.com/egypt-en/instant-karak-chai-tea-with-creamer-sugar-cardamom-8-x-25gm-sachets/Z45A638DA6786D1623BA2Z/p/,107.00,Tea BREAK,25g,12,12,,4.6,9
noon,Grocery,Tea,Rabea Extra Strong Tea - Fine Loose Black Tea - 250g,https://www.noon.com/egypt-en/rabea-extra-strong-tea-fine-loose-black-tea-250g/ZD27846A174D3D9B4FC99Z/p/,107.00,Rabea,250g,12,12,,5,2
noon,Grocery,Tea,Lavender And Chamomile Herbal Tea 18 Filters,https://www.noon.com/egypt-en/lavender-and-chamomile-herbal-tea-18-filters/Z18A210F5CCEBFB7E0747Z/p/,107.00,Imtenan,500g,18,18,,4.5,73
noon,Grocery,Tea,Mood Karak - Karak Tea- Cardamom - 8 sachets,https://www.noon.com/egypt-en/mood-karak-karak-tea-cardamom-8-sachets/ZBD5784A9587948B6783CZ/p/,107.00,Mood karak,500g,6,6,,3,
noon,Grocery,Tea,Diet Herbal Tea 18 Filters,https://www.noon.com/egypt-en/diet-herbal-tea-18-filters/ZA547ACCAEB6711044C30Z/p/,107.00,Imtenan,500g,12,12,,4.5,56
noon,Grocery,Tea,Ahmad Tea London Raspberry & Pomegranate Green Tea – 20 Foil Tea Bags,https://www.noon.com/egypt-en/ahmad-tea-london-raspberry-pomegranate-green-tea-20-foil-tea-bags/Z553F9710E99F7876328AZ/p/,107.00,Ahmad Tea,500g,20,20,,4.4,13
