source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Water,Prestige Mineral Water Medium 500ml Pack of 6,https://www.noon.com/egypt-en/prestige-mineral-water-medium-500ml-pack-of-6/N25262927A/p/,119.00,Evian,500 ml,6,6,,4,9
noon,Grocery,Water,Prestige Sparkling Water 250ml,https://www.noon.com/egypt-en/prestige-sparkling-water-250ml/N52155536A/p/,126.00,San Benedetto,250 ml,,,,4.2,
noon,Grocery,Water,Peach Flavoured Sparkling Water - 350 ml,https://www.noon.com/egypt-en/peach-flavoured-sparkling-water-350-ml/ZAB482EC81544DBB493B7Z/p/,120.00,Elisha,350 ml,20,20,,4.2,
noon,Grocery,Water,2 Evian Natural Mineral Water - 500 ml,https://www.noon.com/egypt-en/2-evian-natural-mineral-water-500-ml/Z8019570DEC2270B44BBAZ/p/,126.00,Evian,500 ml,12,12,,2,
noon,Grocery,Water,مياه زمزم الأصلية – عبوة كرتون 5 لتر معتمدة للطيران – بباركود وملصق أصلي – بطانة داخلية آمنة للتخزين – من Identity Store,https://www.noon.com/egypt-en/5-identity-store/ZDB578B950B7AFDF241E9Z/p/,120.00,ماء زمزم,5 liters لترات,20,20,,5,5
noon,Grocery,Water,Perrier sparkling water rosellini 250 ml,https://www.noon.com/egypt-en/perrier-sparkling-water-rosellini-250-ml/ZC8E960A3A3684AE283D7Z/p/,120.00,Maison Perrier,250 ml,20,20,,4.8,
noon,Grocery,Water,Glass Bottle Sparkling Mineral Water 330ml Pack of 4,https://www.noon.com/egypt-en/glass-bottle-sparkling-mineral-water-330ml-pack-of-4/N12277234A/p/,340.00,Perrier,330 ml,4,4,,4.7,3
noon,Grocery,Water,Orange Flavored Sparkling Drink,https://www.noon.com/egypt-en/orange-flavored-sparkling-drink/Z14A83D92F018C701613FZ/p/,120.00,Elisha,350 ml,20,20,,4.2,
noon,Grocery,Water,Perrier sparkling water citron 500 ml,https://www.noon.com/egypt-en/perrier-sparkling-water-citron-500-ml/ZD30B1C0A8C3BF6AD02CDZ/p/,120.00,Maison Perrier,500 ml,20,20,,4.8,
noon,Grocery,Water,2 Evian Natural Mineral Water - 500 ml,https://www.noon.com/egypt-en/2-evian-natural-mineral-water-500-ml/ZE3CCBBAF39D3C3EA02EEZ/p/,120.00,Evian,500 ml,20,20,,2,
noon,Grocery,Water,Orange Flavoured Sparkling Drink - 350 ml,https://www.noon.com/egypt-en/orange-flavoured-sparkling-drink-350-ml/ZE52C2B647403552329F5Z/p/,120.00,Elisha,350 ml,20,20,,4.1,4
noon,Grocery,Water,ماء زمزم 5 لتر,https://www.noon.com/egypt-en/5/ZE3AC7234688091A4D908Z/p/,120.00,ماء زمزم,5 لتر,20,20,,5,6
noon,Grocery,Water,Waterkind Sparkling Water Cans Multipack – 4 Pieces (250ml Each),https://www.noon.com/egypt-en/waterkind-sparkling-water-cans-multipack-4-pieces-250ml-each/Z95EC37DF891AC539FA5EZ/p/,126.00,Waterkind,250ml,4,4,,4,
noon,Grocery,Water,Pineapple Flavored Sparkling Drink 350ml,https://www.noon.com/egypt-en/pineapple-flavored-sparkling-drink-350ml/ZE18FF976CB337012AC60Z/p/,120.00,OKF,350 ml,20,20,,5,1
noon,Grocery,Water,Blossom Water - 250ml,https://www.noon.com/egypt-en/blossom-water-250ml/N50711370A/p/,120.00,CHOiCE,250 ml,20,20,,4.9,12
