sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,date,item_weight_grams
n40074717a,noon,grocery,"creal,oats,jams&honey",black honey 650grams,58.25,al bawadi,650,1.0,2026-06-25,650.0
zad890806a37ee3ae16b0z,noon,grocery,"creal,oats,jams&honey",fig jam 650 grams,61.0,al bawadi,650,1.0,2026-06-25,650.0
n28968489a,noon,grocery,"creal,oats,jams&honey",nesquik cereal 330grams,111.0,nesquik,330,1.0,2026-06-25,330.0
z281dab0fce9342f92c46z,noon,grocery,"creal,oats,jams&honey",said korean red ginseng golden liquid 30g,1950.0,samsidae,30,1.0,2026-06-25,30.0
n42906482a,noon,grocery,"creal,oats,jams&honey",premium oat flakes 500grams,82.75,al doha,500,1.0,2026-06-25,500.0
n51182040a,noon,grocery,"creal,oats,jams&honey",protein bar hazelnut bar 70grams,84.25,abu auf,70,1.0,2026-06-25,70.0
z6511fe2550a2c24ebc3ez,noon,grocery,"creal,oats,jams&honey",couscous - 700 g,94.95,mr. food,700,1.0,2026-06-25,700.0
z160669ac9f6317461082z,noon,grocery,"creal,oats,jams&honey",jumbo oats set - 300 gram,66.0,lino,300,1.0,2026-06-25,300.0
z20b36b3d2515c11e30edz,noon,grocery,"creal,oats,jams&honey",arkan premium tahini halva with pistachio – 300g – smooth texture & authentic rich nutty flavor,120.0,arkan,300,1.0,2026-06-25,300.0
zf99f016e373c23b9998ez,noon,grocery,"creal,oats,jams&honey",fruit preserve light diet 340gm strawberry jam,48.0,halwani bros,340,1.0,2026-06-25,340.0
z0566e605cfa30885cc9az,noon,grocery,"creal,oats,jams&honey",healthy spread original chocolate 210 gm,123.25,healthy spread,210,1.0,2026-06-25,210.0
n27747712a,noon,grocery,"creal,oats,jams&honey",traditional musli 350grams,121.0,sante,350,1.0,2026-06-25,350.0
z7795c871fd783c22d6f3z,noon,grocery,"creal,oats,jams&honey",granola - coconut with superseeds 350 grams,152.9,goodhands,350,1.0,2026-06-25,350.0
n40074716a,noon,grocery,"creal,oats,jams&honey",black honey 340grams,27.0,el bawadi,340,1.0,2026-06-25,340.0
z50d7b3c01825d49ed1c0z,noon,grocery,"creal,oats,jams&honey",clover honey 2 kg,399.0,shana nature house,2,1.0,2026-06-25,2000.0
z0da9936e6902915a8164z,noon,grocery,"creal,oats,jams&honey",pistachio crunchy bites spread 285g,98.25,el bawadi,300,1.0,2026-06-25,300.0
z5a5ebd6856cd9eb646a5z,noon,grocery,"creal,oats,jams&honey",nutella - hazelnut spread with cocoa - perfect for breakfast and baking (pack size 600 gm),565.0,nutella,600,1.0,2026-06-25,600.0
z6da6119cd13785550967z,noon,grocery,"creal,oats,jams&honey",dubai filling kunafa & pistachio 500 gram,243.0,asmacup,450,1.0,2026-06-25,450.0
za5e1cf2559a0d4861689z,noon,grocery,"creal,oats,jams&honey",chocolate breakfast cereal 330g,186.0,kitkat,330,1.0,2026-06-25,330.0
z66e9b9e668328868283cz,noon,grocery,"creal,oats,jams&honey","manuka honey 400mgo, 500g",6999.0,manuka health,500,1.0,2026-06-25,500.0
zba56042cf2ddc41d61ebz,noon,grocery,"creal,oats,jams&honey",high protein peanut butter 375g,365.0,healthy & tasty,375,1.0,2026-06-25,375.0
z8925e56e5b6129f00030z,noon,grocery,"creal,oats,jams&honey","alsham nebras apricot jam – premium natural fruit spread, authentic taste, golden lid jar, 450g",89.99,alsham nebras,450,1.0,2026-06-25,450.0
z57edf6148520e2d85be9z,noon,grocery,"creal,oats,jams&honey","maxtella - soft hazelnut chocolate spread with cocoa butter substitutes, 200g",74.99,maxtella,220,1.0,2026-06-25,220.0
zb1bccbe9b56df5292d8cz,noon,grocery,"creal,oats,jams&honey",maxtella white spread chocolate – creamy cocoa butter substitute – sweet white chocolate flavor – 350g jar,175.0,maxtella,900,1.0,2026-06-25,900.0
z329942ef4ad9e4f898e6z,noon,grocery,"creal,oats,jams&honey",nutella chocolate with hazelnut - 350 gm (assorted packaging),349.95,nutella,350,1.0,2026-06-25,350.0
zc2e36a4fb5459fea3804z,noon,grocery,"creal,oats,jams&honey",choco bites 225 grams,82.0,real,225,1.0,2026-06-25,225.0
n39272815a,noon,grocery,"creal,oats,jams&honey",cranberries and raisins granola 350grams,195.25,abu auf,350,1.0,2026-06-25,350.0
n39599812a,noon,grocery,"creal,oats,jams&honey",lotus biscoff spread 400grams,441.0,lotus,400,1.0,2026-06-25,400.0
z41c9f155199374c36b71z,noon,grocery,"creal,oats,jams&honey",shira sweetener mixture of honey and natural fructose 3 kg - 60% natural from uni smart group,250.0,uni smart group,3,1.0,2026-06-25,3000.0
z061875817ec16b24a0fdz,noon,grocery,"creal,oats,jams&honey",quaker white oats – 100% natural whole grain oats – heart healthy & high fiber – perfect for breakfast & soup – 500g pack,320.0,quaker,500,1.0,2026-06-25,500.0
n12280414a,noon,grocery,"creal,oats,jams&honey",peanut butter gronola crispy cereal flakes 350grams,159.25,sante,350,1.0,2026-06-25,350.0
z42828349552aa91bc511z,noon,grocery,"creal,oats,jams&honey","maxtella raw chocolate – premium cocoa, special offer, baking & desserts",59.99,maxtella,180,1.0,2026-06-25,180.0
ze4daab162f53f36c1344z,noon,grocery,"creal,oats,jams&honey",nutella spread (350g) rich cocoa and hazelnut cream,370.0,nutella,350,1.0,2026-06-25,350.0
z43362aaa47ee5298908az,noon,grocery,"creal,oats,jams&honey",oat flakes quick cooking-600g,85.0,organic nation,600,1.0,2026-06-25,600.0
zb0e453f008880c5d9d07z,noon,grocery,"creal,oats,jams&honey",arkan halawa tehenia with extra pistachios - 500g - premium quality & rich taste,400.0,arkan,500,1.0,2026-06-25,500.0
z407e2da785c73c7ec709z,noon,grocery,"creal,oats,jams&honey",oats 500 grams,76.5,ragab el attar,500,1.0,2026-06-25,500.0
z65f7bda0da4081ebead9z,noon,grocery,"creal,oats,jams&honey",minis cereals,86.0,nesquik,320,1.0,2026-06-25,480.82792874896444
z45ec3a1fd3b5ea3559d4z,noon,grocery,"creal,oats,jams&honey",choco pillow corn flakes 250 grams,43.0,cornexi,250,1.0,2026-06-25,250.0
n42868001a,noon,grocery,"creal,oats,jams&honey",gold granola with nuts and honey 300grams,181.0,sante,300,1.0,2026-06-25,300.0
zd3ce280cf402b0f17c89z,noon,grocery,"creal,oats,jams&honey",arkan premium halva with extra walnuts – 500g | authentic middle eastern sesame sweet | traditional dessert egypt,250.0,arkan,500,1.0,2026-06-25,500.0
n13710064a,noon,grocery,"creal,oats,jams&honey",fruit muesli 350grams,168.25,sante,350,1.0,2026-06-25,350.0
z7d5adc5221bf351411d4z,noon,grocery,"creal,oats,jams&honey",Maxtella Chocolate Hazelnut Spread – 900 grams | Smooth hazelnut cocoa cream for breakfast and desserts,175.0,Max Tila,900,1.0,2026-06-25,900.0
zb375c232d32c8e5723caz,noon,grocery,"creal,oats,jams&honey",kind kids spread cream 350 gm,99.0,asmacup,350,1.0,2026-06-25,350.0
z579f028569fda55a06d1z,noon,grocery,"creal,oats,jams&honey",saegh whole grain oats 400g,80.0,saegh,400,1.0,2026-06-25,400.0
n42868005a,noon,grocery,"creal,oats,jams&honey",fit granola nuts and cocoa - no sugar added 300grams,208.25,sante,300,1.0,2026-06-25,300.0
n48663892a,noon,grocery,"creal,oats,jams&honey",high protein instant oatmeal the chocolate mocha 300grams,80.25,kayy,300,1.0,2026-06-25,300.0
zcd12cd88703751f4a0e7z,noon,grocery,"creal,oats,jams&honey",saegh black honey polyethylene 700 g,68.0,saegh,700,1.0,2026-06-25,700.0
