sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count,Unnamed: 4,date
N40074717A,noon,Grocery,"creal,oats,Jams&Honey",Black Honey 650grams,58.25,AL BAWADI,650g  |  EGP 8.96/100g,,,,,,,2026-06-25
ZAD890806A37EE3AE16B0Z,noon,Grocery,"creal,oats,Jams&Honey",Fig jam 650 grams,61.0,AL BAWADI,650g  |  EGP 9.38/100g,,,,,,,2026-06-25
N28968489A,noon,Grocery,"creal,oats,Jams&Honey",Nesquik Cereal 330grams,111.0,Nesquik,330g  |  EGP 33.64/100g,,,,,,,2026-06-25
Z281DAB0FCE9342F92C46Z,noon,Grocery,"creal,oats,Jams&Honey",said Korean Red Ginseng Golden Liquid 30g,1950.0,SAMSIDAE,30g  |  EGP 6500.00/100g,,,,,,,2026-06-25
N42906482A,noon,Grocery,"creal,oats,Jams&Honey",Premium Oat Flakes 500grams,82.75,AL DOHA,500g  |  EGP 16.55/100g,,,,,,,2026-06-25
N51182040A,noon,Grocery,"creal,oats,Jams&Honey",protein bar Hazelnut Bar 70grams,84.25,Abu Auf,70g  |  EGP 120.36/100g,,,,,,,2026-06-25
Z6511FE2550A2C24EBC3EZ,noon,Grocery,"creal,oats,Jams&Honey",Couscous - 700 g,94.95,Mr. Food,700g  |  EGP 13.56/100g,,,,,,,2026-06-25
Z160669AC9F6317461082Z,noon,Grocery,"creal,oats,Jams&Honey",Jumbo Oats Set - 300 Gram,66.0,Lino,300g  |  EGP 22.00/100g,,,,,,,2026-06-25
Z20B36B3D2515C11E30EDZ,noon,Grocery,"creal,oats,Jams&Honey",Arkan Premium Tahini Halva with Pistachio – 300g – Smooth Texture & Authentic Rich Nutty Flavor,120.0,ARKAN,300g  |  EGP 40.00/100g,,,,,,,2026-06-25
ZF99F016E373C23B9998EZ,noon,Grocery,"creal,oats,Jams&Honey",Fruit Preserve Light Diet 340gm Strawberry Jam,48.0,Halwani Bros,340g  |  EGP 14.12/100g,,,,,,,2026-06-25
Z0566E605CFA30885CC9AZ,noon,Grocery,"creal,oats,Jams&Honey",Healthy spread original chocolate 210 gm,123.25,Healthy Spread,210g  |  EGP 58.69/100g,,,,,,,2026-06-25
N27747712A,noon,Grocery,"creal,oats,Jams&Honey",Traditional Musli 350grams,121.0,Sante,350g  |  EGP 34.57/100g,,,,,,,2026-06-25
Z7795C871FD783C22D6F3Z,noon,Grocery,"creal,oats,Jams&Honey",Granola - Coconut with Superseeds 350 Grams,152.9,GoodHands,350g  |  EGP 43.69/100g,,,,,,,2026-06-25
N40074716A,noon,Grocery,"creal,oats,Jams&Honey",Black Honey 340grams,27.0,El bawadi,340g  |  EGP 7.94/100g,,,,,,,2026-06-25
Z50D7B3C01825D49ED1C0Z,noon,Grocery,"creal,oats,Jams&Honey",Clover honey 2 kg,399.0,Shana nature house,2kg  |  EGP 19.95/100g,,,,,,,2026-06-25
Z0DA9936E6902915A8164Z,noon,Grocery,"creal,oats,Jams&Honey",Pistachio Crunchy Bites Spread 285g,98.25,El bawadi,300g  |  EGP 32.75/100g,,,,,,,2026-06-25
Z5A5EBD6856CD9EB646A5Z,noon,Grocery,"creal,oats,Jams&Honey",Nutella - Hazelnut Spread with Cocoa - Perfect for Breakfast and Baking (Pack size 600 gm),565.0,Nutella,600g  |  EGP 94.17/100g,,,,,,,2026-06-25
Z6DA6119CD13785550967Z,noon,Grocery,"creal,oats,Jams&Honey",Dubai filling Kunafa & Pistachio 500 Gram,243.0,ASMACUP,450g  |  EGP 54.00/100g,,,,,,,2026-06-25
