source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Coffee,Instant Coffee Gold (100 g),https://www.noon.com/egypt-en/instant-coffee-gold-100-g/Z67D0279054350E40E0ADZ/p/,344.00,Seelaz,100 g grams,27,27,,4.4,23
noon,Grocery,Coffee,"Lavazza Qualità Rossa, Full-bodied and Balanced Espresso, 10 Capsules, Nespresso Compatible",https://www.noon.com/egypt-en/lavazza-qualit-rossa-full-bodied-and-balanced-espresso-10-capsules-nespresso-compatible/Z91AC3D363B0882CB677DZ/p/,255.00,Lavazza,57,10,10,,4.9,25
noon,Grocery,Coffee,Nescafe Dolce Gusto Flat White 16 Capsules Brand: Nescafe,https://www.noon.com/egypt-en/nescafe-dolce-gusto-flat-white-16-capsules-brand-nescafe/Z4D862E2381AFAD281DAAZ/p/,255.00,Dolce Gusto,95g,16,16,,4.8,35
noon,Grocery,Coffee,Lavazza Crema e Gusto Classico Intensity 7 250gm,https://www.noon.com/egypt-en/lavazza-crema-e-gusto-classico-intensity-7-250gm/Z03699705D20B29609579Z/p/,234.00,Lavazza,250g,6,6,,4.3,82
noon,Grocery,Coffee,High Cofee Mix 3*1- 12 Sachet - 18grams,https://www.noon.com/egypt-en/high-cofee-mix-3-1-12-sachet-18grams/N42611621A/p/,145.00,Coffee Break,18 grams,6,6,,4.3,55
noon,Grocery,Coffee,Gold 3in1 - 12 sachet 21grams Pack of 12,https://www.noon.com/egypt-en/gold-3in1-12-sachet-21grams-pack-of-12/N28968513A/p/,274.95,Nescafe,21 grams,12,12,,4.5,121
noon,Grocery,Coffee,Instant Coffee 90grams,https://www.noon.com/egypt-en/instant-coffee-90grams/N35148364A/p/,255.00,Misr Cafe,90 grams,,,,4.4,177
noon,Grocery,Coffee,Grand Aroma 500grams,https://www.noon.com/egypt-en/grand-aroma-500grams/N52381914A/p/,234.00,Melitta,500 grams,6,6,,4.8,56
noon,Grocery,Coffee,Turkish Coffee Light Blended 500 Grams,https://www.noon.com/egypt-en/turkish-coffee-light-blended-500-grams/ZA246798A5075EAA30946Z/p/,324.95,Derma coffee,500 grams,6,6,,4.3,28
noon,Grocery,Coffee,Nescafe Dolce Gusto Cafe au lait - 16 Capsules,https://www.noon.com/egypt-en/nescafe-dolce-gusto-cafe-au-lait-16-capsules/ZCEFDD7D51347F7417B92Z/p/,234.00,Dolce Gusto,47.5g,16,16,,4.7,17
noon,Grocery,Coffee,Ground Espresso Decaffeinated Coffee 125g,https://www.noon.com/egypt-en/ground-espresso-decaffeinated-coffee-125g/Z053FE726F04307E54A81Z/p/,255.00,Illy,125g,6,6,,4.7,3
noon,Grocery,Coffee,2 In 1 Original Mix Coffee 10grams Pack of 24,https://www.noon.com/egypt-en/2-in-1-original-mix-coffee-10grams-pack-of-24/N28968506A/p/,255.00,Nescafe,10 grams,24,24,,4.7,88
noon,Grocery,Coffee,Diet Cappuccino Instant Mix – No Added Sugar – 200g – Rich Flavor with Creamy Frothy Milk,https://www.noon.com/egypt-en/diet-cappuccino-instant-mix-no-added-sugar-200g-rich-flavor-with-creamy-frothy-milk/ZB19D1D492F80BADB6212Z/p/,251.00,UniCafé,200g,10,10,,4.2,527
noon,Grocery,Coffee,Nespresso Ispirazione Firenze Arpeggio Coffee Capsules Intenso,https://www.noon.com/egypt-en/nespresso-ispirazione-firenze-arpeggio-coffee-capsules-intenso/ZBBFC9C1E9069F8482C14Z/p/,274.95,Nespresso,45g,,,,4.8,6
noon,Grocery,Coffee,Ground Coffee Espresso - Ethiopia - 125g,https://www.noon.com/egypt-en/ground-coffee-espresso-ethiopia-125g/ZA220F8CD9405FC2318D1Z/p/,274.95,Illy,125g,6,6,,4.0,8
noon,Grocery,Coffee,Gold Instant Coffee 95grams,https://www.noon.com/egypt-en/gold-instant-coffee-95grams/N27043721A/p/,255.00,Nescafe,95 grams,12,12,,4.7,44
noon,Grocery,Coffee,Coffe Gold Decaf With Roasted Arabica - 95grams Single,https://www.noon.com/egypt-en/coffe-gold-decaf-with-roasted-arabica-95grams-single/N70178151V/p/,255.00,Nescafe,95 grams,,,,4.9,8
noon,Grocery,Coffee,UNICAFE Classic Instant Coffee - 100% Pure Coffee Granules - Rich & Bold Roast - 80g Glass Jar,https://www.noon.com/egypt-en/unicafe-classic-instant-coffee-100-pure-coffee-granules-rich-bold-roast-80g-glass-jar/ZA04C35BB860076BD0A1DZ/p/,234.00,UNICAFE,80g,6,6,,4.5,20
