source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,"Dried Beans, Grains and Rice",ارز بسمتي ذهبي 1 كيلو,https://www.noon.com/egypt-ar/golden-basmati-rice-1kg/Z787F3302FFD33B48A9A2Z/p/,83.95,مستر فود,1 كيلوجرام,,,,4.2,119
noon,Grocery,"Dried Beans, Grains and Rice",فاصوليا بيضاء 250 جرام,https://www.noon.com/egypt-ar/white-beans-250-grams/Z0E9557BF625C054F7A6BZ/p/,20.00,أفندي,250 جرام,,,,4.2,6
noon,Grocery,"Dried Beans, Grains and Rice",أرز مصري أبيض 1كيلوجرام,https://www.noon.com/egypt-ar/egyptian-white-rice-1kg/N28716824A/p/,43.00,الضحى,1 كيلوجرام,,,,4.4,790
noon,Grocery,"Dried Beans, Grains and Rice",أرز أبيض 1كيلوجرام,https://www.noon.com/egypt-ar/white-rice-1kg/N27665653A/p/,31.00,فجر,1 كيلوجرام,,,,3.6,212
noon,Grocery,"Dried Beans, Grains and Rice",أرز بني 500جرام,https://www.noon.com/egypt-ar/brown-rice-500grams/N42868089A/p/,89.85,سنبلة الفرات,500 جرام,,,,3.8,13
noon,Grocery,"Dried Beans, Grains and Rice",فول تدميس مصري 500غرام,https://www.noon.com/egypt-ar/egyptian-fava-beans-500grams/N52406604A/p/,23.00,حبوبة,500 جرام,,,,3.7,182
noon,Grocery,"Dried Beans, Grains and Rice",ارز مصري ابيض 1ك,https://www.noon.com/egypt-ar/egyptian-white-rice-1k/ZC7FF670FABBF59645FE6Z/p/,39.95,فوود لاند,500 جرام,,,,4.1,101
noon,Grocery,"Dried Beans, Grains and Rice",فاصولياء بيضاء 500جرام,https://www.noon.com/egypt-ar/white-beans-15-discount-500grams/N30522027A/p/,80.30,ريحانة,500 جرام,,,,4.7,40
noon,Grocery,"Dried Beans, Grains and Rice",أرز بسمتي هندي 1كيلوجرام,https://www.noon.com/egypt-ar/indian-basmati-rice-1kg/N46544486A/p/,151.75,507 جولد,1 كيلوجرام,,,,4.7,6
noon,Grocery,"Dried Beans, Grains and Rice",أرز بسمتي سيلا ذهبي هندي 2 كجم + خلطة الكبسة 100 جرام,https://www.noon.com/egypt-ar/basmatti-sella-rice-golden-indian-4-kg-kabsa-spices-100-gm/Z6D9F76036FEC735D781BZ/p/,420.00,سلطنة,2 كجم,,,,4.6,10
noon,Grocery,"Dried Beans, Grains and Rice",قمح مقشر 500جرام,https://www.noon.com/egypt-ar/peeled-wheat-500grams/N27719618A/p/,47.00,الضحى,500 جرام,,,,4.4,52
noon,Grocery,"Dried Beans, Grains and Rice",عدس أصفر 500غرام,https://www.noon.com/egypt-ar/yellow-lentils-500grams/N52406607A/p/,29.00,حبوبة,500 جرام,,,,4.4,179
noon,Grocery,"Dried Beans, Grains and Rice",Freekeh 500 grams,https://www.noon.com/egypt-ar/freekeh-500-grams/Z34E7962DEFF4EEB59E41Z/p/,42.50,Ragab El Attar,500 grams,,,,4.6,14
noon,Grocery,"Dried Beans, Grains and Rice",عدس أصفر 500جرام,https://www.noon.com/egypt-ar/yellow-lentil-beans-500grams/N27719614A/p/,61.00,الضحى,500 جرام,,,,4.4,40
noon,Grocery,"Dried Beans, Grains and Rice",فاصوليا بيضاء 500جرام,https://www.noon.com/egypt-ar/white-beans-500grams/N52406613A/p/,39.00,حبوبة,500 جرام,,,,4.4,91
noon,Grocery,"Dried Beans, Grains and Rice",ارز بسمتي سوبرXXXL,https://www.noon.com/egypt-ar/xxxl-super-basmati-rice-1k/ZFA0DA7FFC2F8C75EB7EAZ/p/,111.00,تاج محل,1,,,,5.0,2
noon,Grocery,"Dried Beans, Grains and Rice",أرز بسمتي 5كيلوجرام,https://www.noon.com/egypt-ar/basmati-rice-5kg/N29834274A/p/,599.95,شهي,5 كيلوجرام,,,,3.6,11
