source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Beverages,juice,Classic Orange Juice 1Liters,https://www.noon.com/egypt-en/classic-orange-juice-1liters/N28727581A/p/,517.00,Juhayna,1 Liters,,,,4.2,30
noon,Beverages,juice,Gold Red Grape Sparkling Fruit Juice 250 ml,https://www.noon.com/egypt-en/gold-red-grape-sparkling-fruit-juice-250-ml/Z69CE931C4DDB8E43C267Z/p/,517.00,may,250,,,,5,2
noon,Beverages,juice,Mango Juice 1Liters,https://www.noon.com/egypt-en/mango-juice-1liters/N29595368A/p/,107.00,Juhayna,1 Liters,,,,4.1,24
noon,Beverages,juice,Pure Mango And Peach Juice 1Liters,https://www.noon.com/egypt-en/pure-mango-and-peach-juice-1liters/N29762192A/p/,107.00,Juhayna,1 Liters,,,,4.6,14
noon,Beverages,juice,Doum Juice 1Liters,https://www.noon.com/egypt-en/doum-juice-1liters/N29762175A/p/,485.00,ISIS,1 Liters,,,,5,2
noon,Beverages,juice,Mango juice 300g,https://www.noon.com/egypt-en/mango-juice-300g/Z69A85B0469087BB9CB02Z/p/,107.00,BONA,300,,,,4.2,5
noon,Beverages,juice,Ship Brand Original Tamarind Paste - Value Pack of 6 (6 x 150g) | Natural & Pure for Refreshing Drinks and Gourmet Recipes,https://www.noon.com/egypt-en/ship-brand-original-tamarind-paste-value-pack-of-6-6-x-150g-natural-pure-for-refreshing-drinks-and-gourmet-recipes/Z4362908594B53001996BZ/p/,517.00,Ship,150g,6,6,,,
noon,Beverages,juice,Pinacolada Fruit Drink- 1 Liters,https://www.noon.com/egypt-en/pinacolada-fruit-drink-1-liters/Z834C73DC55E50F26A0C0Z/p/,37.00,Juhayna,1 Liters,,,,4.5,15
noon,Beverages,juice,Tamr-Hendi 1Liters,https://www.noon.com/egypt-en/tamr-hendi-1liters/N29595481A/p/,107.00,ISIS,1 Liters,,,,4.4,
noon,Beverages,juice,Natch Pineapple Natural punch 40g,https://www.noon.com/egypt-en/natch-pineapple-natural-punch-40g/Z13311E5D0BF60A97FF9EZ/p/,517.00,CHEW CHEW,40,,,,5,2
noon,Beverages,juice,Natural Hibiscus Juice,https://www.noon.com/egypt-en/natural-hibiscus-juice/ZD1D357F75EE93109065CZ/p/,107.00,ISIS,250 ml,,,,4.4,
noon,Beverages,juice,Dreem Fruty Orange Flavor Soft Drink Powder - 750g,https://www.noon.com/egypt-en/dreem-fruty-orange-flavor-soft-drink-powder-750g/ZFC496B8699CB9FBC6D30Z/p/,517.00,Dreem,750g,,,,4.5,
