source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,oils,Keshta Ghee 1.5kg,https://www.noon.com/egypt-en/keshta-ghee-1-5kg/N52521654A/p/,300.00,Rawaby,1.5 kg,5,5,,4.5,171
noon,Grocery,oils,Syrian Olive Oil 250ml,https://www.noon.com/egypt-en/syrian-olive-oil-250ml/N53127673A/p/,300.00,Daria,250 ml,,,,3.4,17
noon,Grocery,oils,,https://www.noon.com/egypt-en/pure-butter-oil-800grams/N34324122A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/natural-vinegar-1liters/N30522054A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-2-1liters/N28863155A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/organic-mct-oil-c8-c10-c12-16-fl-oz-473-ml/Z5FF076E252F2A23F84D4Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-2-2liters/N44048419A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/black-seed-oil-pure-100/Z9DF47EB0AAAFAE650436Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-2-5-liters/Z9F7FD8A31012FE0425D3Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/corn-oil-2-2liters/N44048417A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-1liters/N27711428A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-500ml/N48665691A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N27711429A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-1-5liters/N28863154A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-5liters/N27711268A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/corn-oil-2-2liters/N28863024A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/corn-oil-spray-200ml/N30429819A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/extra-virgan-olive-oil-1l/ZC549B0B2DC1F6A1C88B6Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N27711430A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-295ml-with-the-mothers/Z59C8C0ECFFE69B8BD0DFZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/yellow-vegetable-ghee-2-5kg/N27711259A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/extra-virgin-olive-oil-1liters/N43406260A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N28863089A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/corn-oil-plus-2-2liters/N44940201A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N27711433A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-2-25liters/N28863088A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/organic-fermented-apple-cider-vinegar-946ml/Z51A970CAAC55D23A4D20Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-250ml/Z6AD2D0A28A083E6A5031Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N29980049A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/new-zealand-butter-flavored-ghee-super-1-5-kg/ZE84796F2FD278046CE0AZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/greek-extra-virgin-olive-oil-1000-ml/Z59C7BE0562F2B1566CFBZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/pure-butter-oil-2kg/N34324120A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N27711434A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/natural-red-vinegar-900ml/N41989346A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/corn-oil-3-5liters/N33645784A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/ghee-700grams/N51065283A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711419A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-4-5l/ZBFC2421B010F07CCCACEZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/natural-virgin-coconut-oil-400g/Z54E6C7698A058C411FC5Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-2-2liters/N28863020A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/white-natural-vinegar-900ml/N52406599A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711426A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/natural-apple-vinegar-300-ml/Z7A705B434AB5AA45C1FDZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/extra-virgin-olive-oil-2liters/N29595408A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/onic-naturally-yours-extra-virgin-coconut-oil-300ml-100-pure-unrefined-cold-pressed-from-fresh-coconut-flesh-easy-open-tin-can-with-cap/Z43F7E0C4E79615A38CD5Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/butter-spray-low-calorie-200ml/Z97EDB404FF7202385192Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/al-tayebat-pure-organic-apple-vinegar-330ml-raw-unfiltered/Z973893E1B21C4F518889Z/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/natural-butter-ghee-1-6kg/N34324125A/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/extra-virgin-olive-oil-1-litre/ZCA607809AF6CCF86E40CZ/p/,,,,,,,,
noon,Grocery,oils,,https://www.noon.com/egypt-en/sunflower-oil-1-6liters/N27711266A/p/,,,,,,,,
