source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Salt,Sukker Stevia 48 Sachets- 2 Spoonful-Diet Sugar Sweetener 2grams,https://www.noon.com/egypt-en/sukker-stevia-48-sachets-2-spoonful-diet-sugar-sweetener-2grams/N52405010A/p/,269.00,Mozn,2 grams,48,48,,4.4,114
noon,Grocery,Salt,"Splendays Minis Dissolvable Tablets, 300 -Count",https://www.noon.com/egypt-en/splendays-minis-dissolvable-tablets-300-count/ZC2EE90697236AAB76380Z/p/,269.00,Splendays,15ml,12,12,,5,4
noon,Grocery,Salt,Mivolis Sweetener Tablets 1200 Sticks 72grams,https://www.noon.com/egypt-en/mivolis-sweetener-tablets-1200-sticks-72grams/Z3BCE0394B65D16F58147Z/p/,269.00,mivolis,72g,8,8,,4.7,64
noon,Grocery,Salt,Stevia sugar 80g (herb),https://www.noon.com/egypt-en/stevia-sugar-80g-herb/ZE3782DF275712F09C3E0Z/p/,269.00,Shana,80g,96,96,,3,4
noon,Grocery,Salt,Sweetal diet sugar sweetal 75 Sachet 1 gram,https://www.noon.com/egypt-en/sweetal-diet-sugar-sweetal-75-sachet-1-gram/Z2C5F118A0810E99D6A4AZ/p/,269.00,Sweetal,1 g,75,75,,4.1,14
noon,Grocery,Salt,Sweetener Tablets 1200 Sticks 72grams,https://www.noon.com/egypt-en/sweetener-tablets-1200-sticks-72grams/N52343966A/p/,269.00,mivolis,72 grams,1200,1200,,4.5,1076
noon,Grocery,Salt,White Sugar 1 Kg,https://www.noon.com/egypt-en/white-sugar-1-kg/ZB81602F43DA6EB6F2DAFZ/p/,269.00,AlZaeem,1 kg,6,6,,4.8,69
noon,Grocery,Salt,Diet Sugar Sweetener 1200 Sticks 72grams,https://www.noon.com/egypt-en/diet-sugar-sweetener-1200-sticks-72grams/N51084544A/p/,269.00,mivolis,72 grams,1200,1200,,4.6,203
noon,Grocery,Salt,sweetal diet sugar sweetal 300 tab,https://www.noon.com/egypt-en/sweetal-diet-sugar-sweetal-300-tab/ZE811A1383CAE90F86285Z/p/,269.00,Sweetal,15ml,12,12,,4.2,28
noon,Grocery,Salt,Fine Himalayan Salt 650 grams,https://www.noon.com/egypt-en/fine-himalayan-salt-650-grams/Z56135E3EBBA7F3F5467FZ/p/,100.00,Imtenan,650 grams,,,,4.8,37
noon,Grocery,Salt,Sukker Stevia Powder -Diet Sugar Sweetener 200grams,https://www.noon.com/egypt-en/sukker-stevia-powder-diet-sugar-sweetener-200grams/N52405012A/p/,144.00,Mozn,200 grams,20,20,,4.2,110
noon,Grocery,Salt,Mexicana Brown Sugar -500 Gm,https://www.noon.com/egypt-en/mexicana-brown-sugar-500-gm/Z70FF63C37CC33B14CB38Z/p/,269.00,Mr. Food,500 grams,6,6,,4.1,22
noon,Grocery,Salt,Premium Natural White Sugar 1kg,https://www.noon.com/egypt-en/premium-natural-white-sugar-1kg/N27665624A/p/,269.00,Zamzam,1 kg,6,6,,4.5,147
noon,Grocery,Salt,sweetal diet sugar sweetal jar 250 grams,https://www.noon.com/egypt-en/sweetal-diet-sugar-sweetal-jar-250-grams/Z0105B3A9415D9E9C4F2AZ/p/,269.00,Sweetal,250 g,50,50,,4.4,91
noon,Grocery,Salt,Classic MonkFruit and Erythritol Sweetener - 40 Sachet,https://www.noon.com/egypt-en/classic-monkfruit-and-erythritol-sweetener-40-sachet/Z4D36AEC4ADAA2B554C69Z/p/,269.00,LAKANTO,40 Sachets,40,40,,3.9,36
noon,Grocery,Salt,White Sugar 1kg,https://www.noon.com/egypt-en/white-sugar-1kg/N30522023A/p/,269.00,Rehana,1 kg,6,6,,4.6,314
noon,Grocery,Salt,Chinese Salt 250 gm,https://www.noon.com/egypt-en/chinese-salt-250-gm/Z255962E8EB2687BFD52DZ/p/,45.00,SECO SALT,250 g,,,,3.3,6
noon,Grocery,Salt,Himalaya Salt 1kg,https://www.noon.com/egypt-en/himalaya-salt-1kg/ZCB57001D5C1B02E76BEEZ/p/,100.00,Ragab El Attar,1kilo,,,,4.2,18
noon,Grocery,Salt,Sukker Diet Powder - Diet Sugar Sweetener 200grams,https://www.noon.com/egypt-en/sukker-diet-powder-diet-sugar-sweetener-200grams/N52405008A/p/,269.00,Mozn,200 grams,8,8,,4.3,33
noon,Grocery,Salt,Stevia Diet Sugar Zero Calories 250g Jar,https://www.noon.com/egypt-en/stevia-diet-sugar-zero-calories-250g-jar/ZA6716CAF5EE56BA661A9Z/p/,269.00,Rich Diet,250g,,,,4.5,12
