source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Sauces,Hand crafted Hot Sauce CHIPOTLE 200 GM,https://www.noon.com/egypt-en/hand-crafted-hot-sauce-chipotle-200-gm/Z5DF8078BB40E5A713E5AZ/p/,299.00,Felfelaty,200 grams,3,3,,5,1
noon,Grocery,Sauces,Light Soy Sauce 320ml Single,https://www.noon.com/egypt-en/light-soy-sauce-320ml-single/N41989241A/p/,299.00,Tai Hua,320 ml,,,,4.0,1
noon,Grocery,Sauces,"Zero Treat Healthy Ranch Sauce, Keto Friendly, Zero Sugar Added",https://www.noon.com/egypt-en/zero-treat-healthy-ranch-sauce-keto-friendly-zero-sugar-added/ZAF699F0318C32C316DB2Z/p/,299.00,zero treat,300g grams,3,3,,2.3,3
noon,Grocery,Sauces,Pomegranate Molasses 700gm,https://www.noon.com/egypt-en/pomegranate-molasses-700gm/Z4D38CF1146DCD120E022Z/p/,299.00,CHOiCE,700 grams,3,3,,4.7,17
noon,Grocery,Sauces,Basil Pasta Sauce - 300 Gram,https://www.noon.com/egypt-en/basil-pasta-sauce-300-gram/ZAFD1F8C21D0F6601B80FZ/p/,299.00,Naturesta,300,3,3,,4.1,
noon,Grocery,Sauces,Sriracha Green Chilli Sauce 200ml Single,https://www.noon.com/egypt-en/sriracha-green-chilli-sauce-200ml-single/N42868023A/p/,299.00,Flying Goose,200 ml,4,4,,5,3
noon,Grocery,Sauces,Thousand Island 300grams,https://www.noon.com/egypt-en/thousand-island-300grams/N52149605A/p/,299.00,Mc Sauce,300 grams,3,3,,3.7,16
noon,Grocery,Sauces,Happy Kitchen Tomato Puree 500ml,https://www.noon.com/egypt-en/happy-kitchen-tomato-puree-500ml/N28727633A/p/,120.00,Juhayna,500 ml,8,8,,4.6,77
noon,Grocery,Sauces,Heinz BBQ Sauce - 2 Pack (200g Each),https://www.noon.com/egypt-en/heinz-bbq-sauce-2-pack-200g-each/Z4395F1A760A88723D0BBZ/p/,299.00,Heinz,200g,4,4,,2,
noon,Grocery,Sauces,با Green Pepper Hot Sauce with Natural Vinegar Jalapeño Flavor – Mild Heat Flavor Booster – 60ml,https://www.noon.com/egypt-en/green-pepper-hot-sauce-with-natural-vinegar-jalape-o-flavor-mild-heat-flavor-booster-60ml/Z3F4459872043F5377873Z/p/,395.00,Tabasco,60ml,4,4,,4.6,
noon,Grocery,Sauces,Grenadine Molasse 300ml,https://www.noon.com/egypt-en/grenadine-molasse-300ml/N12281278A/p/,299.00,Yamama,300 ml,,,,4.8,49
noon,Grocery,Sauces,Texas Burger Sauce 200grams,https://www.noon.com/egypt-en/texas-burger-sauce-200grams/N47697080A/p/,299.00,Good France,200 grams,4,4,,4.6,55
noon,Grocery,Sauces,Melting Cheese Sauce 400 grams,https://www.noon.com/egypt-en/melting-cheese-sauce-400-grams/Z5FA905FE9170D99337E2Z/p/,299.00,Good France,400 grams,3,3,,4.2,14
noon,Grocery,Sauces,Hot Sauce 100ml,https://www.noon.com/egypt-en/hot-sauce-100ml/N29012988A/p/,299.00,Rana,100 ml,4,4,,4.3,68
noon,Grocery,Sauces,Alternative Lemon Sour - 250 ml,https://www.noon.com/egypt-en/alternative-lemon-sour-250-ml/Z40E3EAA8C136247AF563Z/p/,299.00,SUN GARDEN,250 ml,4,4,,3.8,4
noon,Grocery,Sauces,Soya Sauce Light 170 ml,https://www.noon.com/egypt-en/soya-sauce-light-170-ml/Z5A8C273256DE12318F1EZ/p/,299.00,DOBELLA,170 ml,4,4,,4.1,14
noon,Grocery,Sauces,Guilt Free Hot Barbecue - Zero Added Sugar -350Ml,https://www.noon.com/egypt-en/guilt-free-hot-barbecue-zero-added-sugar-350ml/Z9D86BEC934B1C80AE3BBZ/p/,299.00,Organic Nation,350 ml,3,3,,4.6,14
noon,Grocery,Sauces,Sweet Chili Sauce - 200 grams,https://www.noon.com/egypt-en/sweet-chili-sauce-200-grams/ZB1A137D76DD4278737DFZ/p/,299.00,Good France,200 grams,4,4,,4.2,29
noon,Grocery,Sauces,Tomato Paste 760grams,https://www.noon.com/egypt-en/tomato-paste-760grams/N34976217A/p/,120.00,GIARDINO,760 grams,,,,4.9,31
noon,Grocery,Sauces,Super Hot Sauce 79 Gram,https://www.noon.com/egypt-en/super-hot-sauce-79-gram/Z6118157A19DBBC527736Z/p/,43.00,Naturesta,79,,,,4.6,2
noon,Grocery,Sauces,Buttermilk Ranch Sauce - 200 Gram,https://www.noon.com/egypt-en/buttermilk-ranch-sauce-200-gram/ZDF1B07A7B9094354DEDDZ/p/,299.00,Good France,200,4,4,,4.6,53
noon,Grocery,Sauces,Salsa dip Hot 310grams,https://www.noon.com/egypt-en/salsa-dip-hot-310grams/N51413313A/p/,299.00,Poco Loco,310 grams,4,4,,3,
noon,Grocery,Sauces,Guilt Free Sauce - Zero Added Sugar - Berries - 350Ml,https://www.noon.com/egypt-en/guilt-free-sauce-zero-added-sugar-berries-350ml/ZA6AA45C37E54FD17D2D3Z/p/,299.00,Organic Nation,350,3,3,,4.7,3
noon,Grocery,Sauces,Sesame Seeds Tahina Cream - 1 KG,https://www.noon.com/egypt-en/sesame-seeds-tahina-cream-1-kg/Z68C31EB3370229416AE2Z/p/,299.00,AL SHARQ,1 kg,4,4,,1,
noon,Grocery,Sauces,New York Burger Sauce 400grams,https://www.noon.com/egypt-en/new-york-burger-sauce-400grams/N30328297A/p/,299.00,Good France,400 grams,4,4,,4.1,34
noon,Grocery,Sauces,Sweet Chili Sauce Bucket 3.5 kg,https://www.noon.com/egypt-en/sweet-chili-sauce-bucket-3-5-kg/Z5C255BAC06A10D845B04Z/p/,299.00,Add-Me,3.5 kg,4,4,,3.5,
noon,Grocery,Sauces,Harissa Dressing 400grams,https://www.noon.com/egypt-en/harissa-dressing-400grams/N30328300A/p/,299.00,Good France,400 grams,4,4,,5,3
noon,Grocery,Sauces,Tomato puree sauce 320g,https://www.noon.com/egypt-en/tomato-puree-sauce-320g/Z7B3029ADBCEE30ECE43BZ/p/,299.00,Saegh,320g,3,3,,4.0,
noon,Grocery,Sauces,BBQ Sauce 370grams,https://www.noon.com/egypt-en/bbq-sauce-370grams/N29595820A/p/,299.00,Heinz,370 grams,4,4,,4.4,12
noon,Grocery,Sauces,"Durra Tomato Ketchup – Special Offer Family Pack 900g + 225g | Rich Flavor, Fresh Tomatoes, Value Size",https://www.noon.com/egypt-en/durra-tomato-ketchup-special-offer-family-pack-900g-225g-rich-flavor-fresh-tomatoes-value-size/Z2AC701196FE66157690DZ/p/,299.00,Durra,Family Pack 900g + 225g grams,3,3,,4.3,3
noon,Grocery,Sauces,Lemon Juice Substitute 250ml,https://www.noon.com/egypt-en/lemon-juice-substitute-250ml/N49496935A/p/,299.00,Fersan,250 ml,4,4,,4.4,5
noon,Grocery,Sauces,Mustard 400grams,https://www.noon.com/egypt-en/mustard-400grams/N39930966A/p/,299.00,Lavida,400 grams,4,4,,3.9,10
noon,Grocery,Sauces,Umami Dark Soy Sauce,https://www.noon.com/egypt-en/umami-dark-soy-sauce/Z75B7F0DEB98D576FA240Z/p/,299.00,Haday,500 ml,4,4,,3.8,11
noon,Grocery,Sauces,Sauce Wings and Buffalo Dip - 180 Gram,https://www.noon.com/egypt-en/sauce-wings-and-buffalo-dip-180-gram/Z7EE1E7EA4D646098165CZ/p/,299.00,Naturesta,180,4,4,,5,1
