source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Beverages,Soft Drinks,Pepsi Saudi – Original Cola Soft Drink in Can – Refreshing Carbonated Beverage pack of 2,https://www.noon.com/egypt-en/pepsi-saudi-original-cola-soft-drink-in-can-refreshing-carbonated-beverage-pack-of-2/ZD87AA6B6E942031ECF8BZ/p/,517.00,Pepsi,pack of 2,2,2,,4,1
noon,Beverages,Soft Drinks,Caffeine Free Cola Drink 0% Sugar 330ml,https://www.noon.com/egypt-en/caffeine-free-cola-drink-0-sugar-330ml/ZF2A7184BA88D205F8BE0Z/p/,485.00,Green Cola,330ml,,,,5,5
noon,Beverages,Soft Drinks,Soft Drink - 250ml,https://www.noon.com/egypt-en/soft-drink-250ml/N29340589A/p/,485.00,7up,250 ml,12,12,,4.5,16
noon,Beverages,Soft Drinks,Green Mocktails Mojito 330grams,https://www.noon.com/egypt-en/green-mocktails-mojito-330grams/N53183018A/p/,295.00,Green Cola,330 grams,,,,4.2,27
noon,Beverages,Soft Drinks,Vitamin Sparkling Drink 100% Natural Flavors - Blueberry,https://www.noon.com/egypt-en/vitamin-sparkling-drink-100-natural-flavors-blueberry/Z90AC5A68FB098B80318CZ/p/,485.00,V7,300 ml,12,12,,4.4,193
noon,Beverages,Soft Drinks,Soft Drink Extra Fizz 1.47 Liters,https://www.noon.com/egypt-en/soft-drink-extra-fizz-1-47-liters/ZB13BF46E9DB0FD3671DBZ/p/,485.00,Pepsi,1.47 Liters,,,,1.8,4
noon,Beverages,Soft Drinks,Green Apple 1.47 Liters,https://www.noon.com/egypt-en/green-apple-1-47-liters/Z9466B093770E21CCAC7DZ/p/,295.00,Mirinda,1.47 Liters,,,,5,3
noon,Beverages,Soft Drinks,Soft Drink Cans 240ml,https://www.noon.com/egypt-en/soft-drink-cans-240ml/N28991813A/p/,485.00,Pepsi,240 ml,,,,4.2,34
noon,Beverages,Soft Drinks,Soft Drink Bottle 1.47 Liters,https://www.noon.com/egypt-en/soft-drink-bottle-1-47-liters/ZC2156DCBAC991998F999Z/p/,485.00,7up,1.47 Liters,,,,5,2
noon,Beverages,Soft Drinks,Naturally Sweetened Lemon Lime With Monk Fruit - 5 Bottles + 1 Free,https://www.noon.com/egypt-en/naturally-sweetened-lemon-lime-with-monk-fruit-5-bottles-1-free/Z0AE1D1645F2FCE1F1000Z/p/,484.00,LAKANTO,400 ml - 5 Bottles + 1 Free,,,,5,
