source,category,sub_category,product_link,product_name,brand,price,item_weight
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-sparkling-fruit-juice-peach-750ml/N35958822A/p/?o=ce055d789d04a09e,Gold Sparkling Fruit Juice Peach 750ml,may,196.25,750ml  |  EGP 26.17/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/pure-orange-juice-235ml/N28727576A/p/?o=e7cb2059693b38ff,Pure Orange Juice 235ml,Juhayna,17.00,235ml  |  EGP 7.23/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/mogu-mogu-passion-fruit-drink-with-nata-de-coco-refreshing-tropical-beverage-with-chewy-coconut-bits-320ml-pack-of-3/Z15E5C50906916E7F875EZ/p/?o=ced498cacdf520ae,"MOGU MOGU Passion Fruit Drink with Nata De Coco, Refreshing Tropical Beverage with Chewy Coconut Bits, 320ml (Pack of 3)",Mogu Mogu,240.00,960ml  |  EGP 250.00/L
noon,Beverages,juice,https://www.noon.com/egypt-en/sun-top-mixed-berry-juice-pack-of-6-250ml/Z83DE71F333174C4EAC1EZ/p/?o=dc59c1fcceaabf6a,Sun Top Mixed Berry Juice - Pack of 6 - 250ml,Suntop,208.00,1500ml  |  EGP 138.67/L
noon,Beverages,juice,https://www.noon.com/egypt-en/mango-juice-400-grams/ZE47D0D9E3319DBBCFC13Z/p/?o=ze47d0d9e3319dbbcfc13z-1,Mango Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/natch-strawberry-natural-juice-shots-40g/Z0E67AE08E0F3E7249567Z/p/?o=c5f43ab401202e0f,Natch Strawberry Natural Juice Shots 40g,CHEW CHEW,25.00,40g  |  EGP 62.50/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/doum-juice-1liters/N29762175A/p/?o=b26c57b13dfcbcff,Doum Juice 1Liters,ISIS,71.75,1000ml  |  EGP 7.18/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/natch-pomegranate-natural-fruit-punch-40g/Z2A1206F1F0A2F572EA99Z/p/?o=aba7684f2286e5db,Natch Pomegranate Natural fruit punch 40g,CHEW CHEW,25.00,40g  |  EGP 62.50/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-sparkling-fruit-cocktail-juice-750ml/N35958823A/p/?o=c0a2ad218c411ffc,Gold Sparkling Fruit Cocktail Juice 750ml,may,196.25,750ml  |  EGP 26.17/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/sun-top-guava-juice-pack-of-6-250ml/ZDD426FE275FC9B147354Z/p/?o=zdd426fe275fc9b147354z-1,Sun Top Guava Juice - Pack of 6 - 250ml,Suntop,164.00,1.5L  |  EGP 10.93/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/qamar-al-din-juice-300g/Z3B7C1EEACD572BB4B512Z/p/?o=z3b7c1eeacd572bb4b512z-1,Qamar Al-Din Juice 300g,BONA,68.00,300g  |  EGP 22.67/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/natch-pineapple-natural-punch-40g/Z13311E5D0BF60A97FF9EZ/p/?o=bcc17db6ccecb73e,Natch Pineapple Natural punch 40g,CHEW CHEW,25.00,40g  |  EGP 62.50/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/sun-top-mango-juice-pack-of-6-250ml/ZE0D2898FDDEFC3E27387Z/p/?o=ze0d2898fddefc3e27387z-1,Sun Top Mango Juice - Pack of 6 - 250ml,Suntop,164.00,1.5L  |  EGP 10.93/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/orange-juice-300g/Z2A1D790BD4A65322D797Z/p/?o=z2a1d790bd4a65322d797z-1,Orange juice 300g,BONA,79.25,300g  |  EGP 26.42/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/natch-cherry-natural-fruit-punch-40g/Z909CF980C00B638488DFZ/p/?o=d4434f79b0943fdb,Natch Cherry Natural fruit punch 40g,CHEW CHEW,25.00,40g  |  EGP 62.50/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/strawberry-juice-300g/ZB284DAE4033E00AFE0FEZ/p/?o=zb284dae4033e00afe0fez-1,Strawberry juice 300g,BONA,79.25,300g  |  EGP 26.42/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/yalla-smoozy-mixed-berries-box-10-sachets/ZD745B2D780C6C99D2A86Z/p/?o=a8df922f4ce86fcd,Yalla Smoozy Mixed Berries box 10 Sachets,,150.00,10 pieces  |  EGP 15.00/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/apple-juice-400-grams/Z355709EA194323376E6CZ/p/?o=z355709ea194323376e6cz-1,Apple Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/mango-juice-300g/Z69A85B0469087BB9CB02Z/p/?o=z69a85b0469087bb9cb02z-1,Mango juice 300g,BONA,79.25,300g  |  EGP 26.42/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/red-grapes-juice-pure-235ml/N28727610A/p/?o=bf50655143fb3aea,Red Grapes Juice Pure 235ml,Juhayna,17.00,235ml  |  EGP 7.23/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/pure-apple-juice-235ml/N28727596A/p/?o=a304f21f03d9c81e,Pure Apple Juice 235ml,Juhayna,17.00,235ml  |  EGP 7.23/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/yalla-smoozy-pink-lemonade-box-10-sachets/Z8C4CED9923235ACB59BDZ/p/?o=fcb4ce8bb70c90dd,Yalla Smoozy Pink lemonade box 10 Sachets,,150.00,10 pieces  |  EGP 15.00/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/pure-pomegranate-juice-235ml/N28727609A/p/?o=a3fefc1cf42d6dda,Pure Pomegranate Juice 235ml,Juhayna,18.25,235ml  |  EGP 7.77/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-sparkling-fruit-juice-pomegranate-750ml/N35958819A/p/?o=e3396fb6a55864ee,Gold Sparkling Fruit Juice Pomegranate 750ml,may,196.25,750ml  |  EGP 26.17/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/alrabie-berry-mix-juice-120ml-refreshing-fruit-beverage-pack-of-6/Z6F735D8B52C2E5CBA189Z/p/?o=dfd2d08aa4eb7e6e,Alrabie Berry Mix Juice 120ml – Refreshing Fruit Beverage – Pack of 6,alrabie,239.94,720ml  |  EGP 333.25/L
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-red-grape-sparkling-fruit-juice-250-ml/Z69CE931C4DDB8E43C267Z/p/?o=e48ade6f54eb248d,Gold Red Grape Sparkling Fruit Juice  250 ml,may,73.25,250ml  |  EGP 293.00/L
noon,Beverages,juice,https://www.noon.com/egypt-en/pineapple-juice-400-grams/Z3FD1B503CB5099593014Z/p/?o=z3fd1b503cb5099593014z-1,Pineapple Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/natural-tamarind-juice-250-ml/Z0CE43503CC18AEA4AF63Z/p/?o=e9729befd84b574c,Natural Tamarind Juice  250 ml,ISIS,25.00,250ml  |  EGP 10.00/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/mon-cherry-fruit-drink-1-liters/ZF37592C34B99239F731AZ/p/?o=zf37592c34b99239f731az-1,Mon Cherry Fruit Drink- 1 Liters,Juhayna,39.00,1000ml  |  EGP 3.90/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/classic-blend-tangerine-mandarin-juice-1liters/N29595364A/p/?o=dee4266a3cd3ceee,Classic Blend Tangerine Mandarin Juice 1Liters,Juhayna,36.75,1000ml  |  EGP 3.68/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/peach-juice-400-grams/Z0EBECC3801C1FC62B66CZ/p/?o=z0ebecc3801c1fc62b66cz-1,Peach Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/concentrated-orange-juice-powder-20-sachets-10-gram/Z2D2919186D6D66A7174FZ/p/?o=z2d2919186d6d66a7174fz-1,Concentrated Orange Juice Powder - 20 Sachets - 10 Gram,5 minutes,113.00,20 pieces  |  EGP 5.65/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/orange-juice-400-grams/Z08F24FBDA79CF4F13DC1Z/p/?o=z08f24fbda79cf4f13dc1z-1,Orange Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/juice-cocktail-flavour-1liters/N29762193A/p/?o=e02ac9a82d4a144e,Juice Cocktail Flavour 1Liters,Juhayna,38.00,1000ml  |  EGP 3.80/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/basil-seed-red-apple-290ml/N35958785A/p/?o=d9ccbfd0d833454e,Basil Seed Red Apple 290ml,Free Go,43.25,290ml  |  EGP 14.91/100ml
